Package,License,maintainer,DOI,authorItem,Descr_lang,Descr
Chicago,Artistic-2.0,Mikhail Spivakov,10.18129/B9.BIOC.CHICAGO,Q37608451,en,researcher
chimeraviz,Artistic-2.0,Stian Lågstad,10.18129/B9.BIOC.CHIMERAVIZ,,,
chipenrich,GPL-3,Raymond G. Cavalcante,10.18129/B9.BIOC.CHIPENRICH,,,
ChIPexoQual,GPL (>= 2),Rene Welch,10.18129/B9.BIOC.CHIPEXOQUAL,Q61313147,en,researcher ORCID ID = 0000-0001-9861-530X
ChIPQC,GPL (>= 3),Tom Carroll,10.18129/B9.BIOC.CHIPQC,,,
chipseq,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.CHIPSEQ,,,
ChIPsim,GPL (>= 2),Peter Humburg,10.18129/B9.BIOC.CHIPSIM,Q55245621,en,researcher
ChIPXpress,GPL (>= 2),George Wu,10.18129/B9.BIOC.CHIPXPRESS,Q102361026,en,Ph.D. Harvard University 1991
chopsticks,GPL-3,Hin-Tak Leung,10.18129/B9.BIOC.CHOPSTICKS,,,
ChromHeatMap,Artistic-2.0,Tim F. Rayner,10.18129/B9.BIOC.CHROMHEATMAP,Q47502905,en,researcher
chromPlot,GPL (>= 2),Karen Y. Orostica,10.18129/B9.BIOC.CHROMPLOT,,,
chromstaR,Artistic-2.0,Aaron Taudt,10.18129/B9.BIOC.CHROMSTAR,Q56975152,en,researcher
CHRONOS,GPL-2,Panos Balomenos,10.18129/B9.BIOC.CHRONOS,,,
CIMICE,Artistic-2.0,Nicolò Rossi,10.18129/B9.BIOC.CIMICE,,,
CINdex,GPL (>= 2),Yuriy Gusev,10.18129/B9.BIOC.CINDEX,Q57548014,en,researcher ORCID ID = 0000-0001-7371-4715
circRNAprofiler,GPL-3,Simona Aufiero,10.18129/B9.BIOC.CIRCRNAPROFILER,Q88138160,en,researcher
cisPath,GPL (>= 3),Likun Wang,10.18129/B9.BIOC.CISPATH,Q55188166,en,researcher (ORCID 0000-0002-0933-2808)
CiteFuse,GPL-3,Yingxin Lin,10.18129/B9.BIOC.CITEFUSE,,,
ClassifyR,GPL-3,Dario Strbenac,10.18129/B9.BIOC.CLASSIFYR,Q88235510,en,researcher
cleaver,GPL (>= 3),Sebastian Gibb,10.18129/B9.BIOC.CLEAVER,Q57412465,en,researcher ORCID id 0000-0001-7406-4443
clippda,GPL (>= 2),Stephen Nyangoma,10.18129/B9.BIOC.CLIPPDA,Q102310864,en,Ph.D. University of Auckland 2000
clipper,AGPL-3,Paolo Martini,10.18129/B9.BIOC.CLIPPER,Q83826287,en,researcher
cliProfiler,Artistic-2.0,You Zhou,10.18129/B9.BIOC.CLIPROFILER,,,
cliqueMS,GPL (>= 2),Oriol Senan Campos,10.18129/B9.BIOC.CLIQUEMS,,,
Clomial,GPL (>= 2),Habil Zare,10.18129/B9.BIOC.CLOMIAL,Q30348803,en,researcher
Clonality,GPL-3,Irina Ostrovnaya,10.18129/B9.BIOC.CLONALITY,Q90067884,en,researcher
clst,GPL-3,Noah Hoffman,10.18129/B9.BIOC.CLST,,,
clstutils,GPL-3,Noah Hoffman,10.18129/B9.BIOC.CLSTUTILS,,,
CluMSID,MIT,Tobias Depke,10.18129/B9.BIOC.CLUMSID,Q97559095,en,researcher
clustComp,GPL (>= 2),Aurora Torrente,10.18129/B9.BIOC.CLUSTCOMP,Q47502906,en,researcher
clusterExperiment,Artistic-2.0,Elizabeth Purdom,10.18129/B9.BIOC.CLUSTEREXPERIMENT,Q91088563,en,researcher (ORCID 0000-0001-9455-7990)
ClusterJudge,Artistic-2.0,Adrian Pasculescu,10.18129/B9.BIOC.CLUSTERJUDGE,Q30225112,en,researcher
clusterProfiler,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.CLUSTERPROFILER,Q56548905,en,researcher
clusterSeq,GPL-3,Thomas J. Hardcastle,10.18129/B9.BIOC.CLUSTERSEQ,,,
ClusterSignificance,GPL-3,Jason T Serviss,10.18129/B9.BIOC.CLUSTERSIGNIFICANCE,Q58585996,en,researcher ORCID ID = 0000-0002-5778-7014
clusterStab,Artistic-2.0,James W. MacDonald,10.18129/B9.BIOC.CLUSTERSTAB,,,
clustifyr,MIT,Kent Riemondy,10.18129/B9.BIOC.CLUSTIFYR,Q64516200,en,researcher
CMA,GPL (>= 2),Roman Hornung,10.18129/B9.BIOC.CMA,Q90524063,en,researcher (ORCID 0000-0002-6036-1495)
cn.farms,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.CN.FARMS,Q96766980,en,researcher
CNAnorm,GPL-2,Stefano Berri,10.18129/B9.BIOC.CNANORM,Q43102399,en,researcher
CNEr,GPL-2,Ge Tan,10.18129/B9.BIOC.CNER,Q56958242,en,researcher (ORCID 0000-0003-0026-8739)
CNORdt,GPL-2,A. MacNamara,10.18129/B9.BIOC.CNORDT,,,
CNORfeeder,GPL-3,Attila Gabor,10.18129/B9.BIOC.CNORFEEDER,Q86584322,en,researcher
CNORfuzzy,GPL-2,T. Cokelaer,10.18129/B9.BIOC.CNORFUZZY,,,
CNORode,GPL-2,Attila Gabor,10.18129/B9.BIOC.CNORODE,Q86584322,en,researcher
CNTools,LGPL (>= 2.1),J. Zhang,10.18129/B9.BIOC.CNTOOLS,Q61624271,,
CNVfilteR,Artistic-2.0,Jose Marcos Moreno-Cabrera,10.18129/B9.BIOC.CNVFILTER,Q90810329,en,researcher (ORCID 0000-0001-8570-0345)
CNVgears,GPL-3,Simone Montalbano,10.18129/B9.BIOC.CNVGEARS,,,
cnvGSA,LGPL (>= 2.1),Joseph Lugo,10.18129/B9.BIOC.CNVGSA,,,
CNViz,Artistic-2.0,Rebecca Greenblatt,10.18129/B9.BIOC.CNVIZ,,,
CNVMetrics,Artistic-2.0,Astrid Deschênes,10.18129/B9.BIOC.CNVMETRICS,Q41046641,en,researcher
CNVPanelizer,GPL-3,Thomas Wolf,10.18129/B9.BIOC.CNVPANELIZER,,,
CNVrd2,GPL-2,Hoang Tan Nguyen,10.18129/B9.BIOC.CNVRD2,,,
CoCiteStats,CPL,Bioconductor Package Maintainer,10.18129/B9.BIOC.COCITESTATS,,,
CODEX,GPL-2,Yuchao Jiang,10.18129/B9.BIOC.CODEX,Q88373101,en,researcher (ORCID 0000-0001-7012-0559)
CoGAPS,BSD_3_clause,Elana J. Fertig,10.18129/B9.BIOC.COGAPS,Q39186609,en,American cancer biologist
cogena,LGPL (>= 2.1),Zhilong Jia,10.18129/B9.BIOC.COGENA,Q86089132,en,researcher
cogeqc,GPL-3,Fabrício Almeida-Silva,10.18129/B9.BIOC.COGEQC,,,
Cogito,LGPL (>= 2.1),Annika Bürger,10.18129/B9.BIOC.COGITO,,,
coGPS,GPL-2,Yingying Wei,10.18129/B9.BIOC.COGPS,Q57036152,en,researcher (ORCID 0000-0003-3826-336X)
COHCAP,GPL-3,Charles Warden,10.18129/B9.BIOC.COHCAP,Q91178623,en,researcher (ORCID 0000-0002-1827-4486)
cola,MIT,Zuguang Gu,10.18129/B9.BIOC.COLA,Q44539523,en,researcher
comapr,MIT,Ruqian Lyu,10.18129/B9.BIOC.COMAPR,,,
combi,GPL-2,Stijn Hawinkel,10.18129/B9.BIOC.COMBI,Q91545755,en,researcher (ORCID 0000-0002-4501-5180)
coMET,GPL (>= 2),Tiphaine Martin,10.18129/B9.BIOC.COMET,Q59540166,en,researcher ORCID ID = 0000-0001-9990-1455
coMethDMR,GPL-3,Fernanda Veitzman,10.18129/B9.BIOC.COMETHDMR,,,
compartmap,GPL-3,Benjamin Johnson,10.18129/B9.BIOC.COMPARTMAP,,,
COMPASS,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.COMPASS,Q55364287,en,researcher
compcodeR,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.COMPCODER,Q43290839,en,researcher
ComplexHeatmap,MIT,Zuguang Gu,10.18129/B9.BIOC.COMPLEXHEATMAP,Q44539523,en,researcher
CompoundDb,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.COMPOUNDDB,Q55266814,en,researcher
ComPrAn,MIT,Petra Palenikova,10.18129/B9.BIOC.COMPRAN,,,
conclus,GPL-3,Ilyess Rachedi,10.18129/B9.BIOC.CONCLUS,,,
condiments,MIT,Hector Roux de Bezieux,10.18129/B9.BIOC.CONDIMENTS,Q95627783,en,researcher
CONFESS,GPL-2,Diana LOW,10.18129/B9.BIOC.CONFESS,Q21454050,,
consensus,BSD_3_clause,Tim Peters,10.18129/B9.BIOC.CONSENSUS,Q30506668,en,researcher
consensusDE,GPL-3,Ashley J. Waardenberg,10.18129/B9.BIOC.CONSENSUSDE,,,
contiBAIT,BSD_2_clause,Kieran O'Neill,10.18129/B9.BIOC.CONTIBAIT,Q37379978,en,researcher
conumee,GPL (>= 2),Volker Hovestadt,10.18129/B9.BIOC.CONUMEE,Q43153333,en,researcher
convert,LGPL (>= 2.1),Yee Hwa (Jean) Yang,10.18129/B9.BIOC.CONVERT,,,
copa,Artistic-2.0,James W. MacDonald,10.18129/B9.BIOC.COPA,,,
copynumber,Artistic-2.0,Gro Nilsen,10.18129/B9.BIOC.COPYNUMBER,Q88022438,en,researcher
CopyNumberPlots,Artistic-2.0,Bernat Gel,10.18129/B9.BIOC.COPYNUMBERPLOTS,Q55323714,en,researcher
CopywriteR,GPL-2,Oscar Krijgsman,10.18129/B9.BIOC.COPYWRITER,Q59550604,en,researcher ORCID ID = 0000-0003-0825-3291
coRdon,Artistic-2.0,Anamaria Elek,10.18129/B9.BIOC.CORDON,,,
CoRegNet,GPL-3,Remy Nicolle,10.18129/B9.BIOC.COREGNET,Q60036062,en,researcher ORCID ID = 0000-0001-8084-1173
Cormotif,GPL-2,Yingying Wei,10.18129/B9.BIOC.CORMOTIF,Q57036152,en,researcher (ORCID 0000-0003-3826-336X)
corral,GPL-2,Lauren Hsu,10.18129/B9.BIOC.CORRAL,,,
CORREP,GPL (>= 2),Dongxiao Zhu,10.18129/B9.BIOC.CORREP,,,
coseq,GPL-3,Andrea Rau,10.18129/B9.BIOC.COSEQ,,,
cosmiq,GPL-3,David Fischer,10.18129/B9.BIOC.COSMIQ,Q92768246,en,researcher (ORCID 0000-0002-1293-7656)
cosmosR,GPL-3,Attila Gabor,10.18129/B9.BIOC.COSMOSR,Q86584322,en,researcher
COSNet,GPL (>= 2),Marco Frasca,10.18129/B9.BIOC.COSNET,Q47695494,en,researcher (ORCID 0000-0002-4170-0922)
COTAN,GPL-3,Galfrè Silvia Giulia,10.18129/B9.BIOC.COTAN,,,
countsimQC,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.COUNTSIMQC,Q43290839,en,researcher
covEB,GPL-3,C. Pacini,10.18129/B9.BIOC.COVEB,,,
CoverageView,Artistic-2.0,Ernesto Lowy,10.18129/B9.BIOC.COVERAGEVIEW,Q88764914,en,researcher
covRNA,GPL (>= 2),Lara Urban,10.18129/B9.BIOC.COVRNA,Q57386766,en,researcher
cpvSNP,Artistic-2.0,Caitlin McHugh,10.18129/B9.BIOC.CPVSNP,,,
cqn,Artistic-2.0,Kasper Daniel Hansen,10.18129/B9.BIOC.CQN,Q30504905,en,researcher
CRImage,Artistic-2.0,Henrik Failmezger,10.18129/B9.BIOC.CRIMAGE,Q102441017,en,Dr. rer. nat. Universität zu Köln 2015
crisprBase,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBASE,,,
crisprBowtie,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBOWTIE,,,
crisprBwa,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBWA,,,
crisprScore,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRSCORE,,,
CRISPRseek,GPL (>= 2),Lihua Julie Zhu,10.18129/B9.BIOC.CRISPRSEEK,Q59510987,en,researcher ORCID ID = 0000-0001-7416-0590
crisprseekplus,GPL-3,Alper Kucukural,10.18129/B9.BIOC.CRISPRSEEKPLUS,Q37392507,en,Bioinformatician
crlmm,Artistic-2.0,Benilton S Carvalho,10.18129/B9.BIOC.CRLMM,,,
crossmeta,MIT,Alex Pickering,10.18129/B9.BIOC.CROSSMETA,,,
CSAR,Artistic-2.0,Jose M Muino,10.18129/B9.BIOC.CSAR,Q57673904,en,researcher ORCID ID = 0000-0002-6403-7262
csaw,GPL-3,Aaron Lun,10.18129/B9.BIOC.CSAW,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
csdR,GPL-3,Jakob Peder Pettersen,10.18129/B9.BIOC.CSDR,,,
CSSP,GPL-2,Chandler Zuo,10.18129/B9.BIOC.CSSP,Q102660182,en,Ph.D. University of Wisconsin-Madison 2015
CSSQ,Artistic-2.0,Fan Lab at Georgia Institute of Technology,10.18129/B9.BIOC.CSSQ,,,
ctc,GPL-2,Antoine Lucas,10.18129/B9.BIOC.CTC,Q54015972,en,researcher
CTDquerier,MIT,Xavier Escribà-Montagut,10.18129/B9.BIOC.CTDQUERIER,,,
ctgGEM,GPL (>= 2),USD Biomedical Engineering,10.18129/B9.BIOC.CTGGEM,,,
cTRAP,MIT,Nuno Saraiva-Agostinho,10.18129/B9.BIOC.CTRAP,Q63980419,en,researcher
ctsGE,GPL-2,Michal Sharabi-Schwager,10.18129/B9.BIOC.CTSGE,,,
cummeRbund,Artistic-2.0,Loyal A. Goff,10.18129/B9.BIOC.CUMMERBUND,,,
customCMPdb,Artistic-2.0,Yuzhu Duan,10.18129/B9.BIOC.CUSTOMCMPDB,,,
cyanoFilter,MIT,Oluwafemi Olusoji,10.18129/B9.BIOC.CYANOFILTER,,,
cycle,GPL-2,Matthias Futschik,10.18129/B9.BIOC.CYCLE,Q37376165,en,researcher
CytoDx,GPL-2,Zicheng Hu,10.18129/B9.BIOC.CYTODX,Q98499375,en,researcher
CyTOFpower,LGPL (>= 2.1),Anne-Maud Ferreira,10.18129/B9.BIOC.CYTOFPOWER,,,
CytoGLMM,LGPL (>= 2.1),Christof Seiler,10.18129/B9.BIOC.CYTOGLMM,Q57294845,en,researcher
cytoKernel,GPL-3,Tusharkanti Ghosh,10.18129/B9.BIOC.CYTOKERNEL,Q92681377,en,researcher (ORCID 0000-0003-3865-239X)
cytoMEM,GPL-3,Jonathan Irish,10.18129/B9.BIOC.CYTOMEM,Q41645616,en,cell biologist
CytoTree,GPL-3,Yuting Dai,10.18129/B9.BIOC.CYTOTREE,Q92435806,en,researcher (ORCID 0000-0002-6678-3760)
daMA,GPL (>= 2),Jobst Landgrebe,10.18129/B9.BIOC.DAMA,,,
DAPAR,Artistic-2.0,Samuel Wieczorek,10.18129/B9.BIOC.DAPAR,Q87077502,en,researcher
dasper,Artistic-2.0,David Zhang,10.18129/B9.BIOC.DASPER,Q45954735,en,researcher (ORCID 0000-0002-5027-5286)
dcanr,GPL-3,Dharmesh D. Bhuva,10.18129/B9.BIOC.DCANR,,,
dce,GPL-3,Kim Philipp Jablonski,10.18129/B9.BIOC.DCE,Q89747588,en,researcher
dcGSA,GPL-2,Jiehuan sun,10.18129/B9.BIOC.DCGSA,Q91279058,en,researcher (ORCID 0000-0002-5940-4822)
ddCt,LGPL (>= 2.1),Jitao David Zhang,10.18129/B9.BIOC.DDCT,Q64785559,en,researcher
ddPCRclust,Artistic-2.0,Benedikt G. Brink,10.18129/B9.BIOC.DDPCRCLUST,,,
debCAM,GPL-2,Lulu Chen,10.18129/B9.BIOC.DEBCAM,Q90288827,en,researcher (ORCID 0000-0001-9621-9231)
DECIPHER,GPL-3,Erik Wright,10.18129/B9.BIOC.DECIPHER,,,
DEComplexDisease,GPL-3,Guofeng Meng,10.18129/B9.BIOC.DECOMPLEXDISEASE,Q92235046,en,researcher (ORCID 0000-0002-5418-3821)
decompTumor2Sig,GPL-2,Rosario M. Piro,10.18129/B9.BIOC.DECOMPTUMOR2SIG,Q51075539,en,researcher
DeconRNASeq,GPL-2,Ting Gong,10.18129/B9.BIOC.DECONRNASEQ,Q90149284,en,researcher (ORCID 0000-0001-9732-7162)
deconvR,Artistic-2.0,İrem B. Gündüz,10.18129/B9.BIOC.DECONVR,,,
decoupleR,GPL-3,Pau Badia-i-Mompel,10.18129/B9.BIOC.DECOUPLER,,,
DeepBlueR,GPL (>= 2.0),Felipe Albrecht,10.18129/B9.BIOC.DEEPBLUER,Q96036284,en,researcher
DeepPINCS,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.DEEPPINCS,Q91273582,en,researcher (ORCID 0000-0001-7499-8422)
deepSNV,GPL-3,Moritz Gerstung,10.18129/B9.BIOC.DEEPSNV,Q42710184,en,researcher
DEFormats,GPL-3,Andrzej Oleś,10.18129/B9.BIOC.DEFORMATS,Q57196115,en,Polish researcher
DegNorm,LGPL (>= 2.1),Ji-Ping Wang,10.18129/B9.BIOC.DEGNORM,Q93135491,en,researcher (ORCID 0000-0002-8398-939X)
DEGraph,GPL-3,Laurent Jacob,10.18129/B9.BIOC.DEGRAPH,Q87770737,en,researcher (ORCID 0000-0003-4767-0442)
DEGreport,MIT,Lorena Pantano,10.18129/B9.BIOC.DEGREPORT,Q88703023,en,researcher
DEGseq,LGPL (>= 2.1),Likun Wang,10.18129/B9.BIOC.DEGSEQ,Q55188166,en,researcher (ORCID 0000-0002-0933-2808)
DelayedArray,Artistic-2.0,Hervé Pagès,10.18129/B9.BIOC.DELAYEDARRAY,,,
DelayedDataFrame,GPL-3,Qian Liu,10.18129/B9.BIOC.DELAYEDDATAFRAME,,,
DelayedMatrixStats,MIT,Peter Hickey,10.18129/B9.BIOC.DELAYEDMATRIXSTATS,Q55692622,en,researcher
DelayedRandomArray,GPL-3,Aaron Lun,10.18129/B9.BIOC.DELAYEDRANDOMARRAY,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
DelayedTensor,Artistic-2.0,Koki Tsuyuzaki,10.18129/B9.BIOC.DELAYEDTENSOR,Q59158511,en,researcher ORCID ID = 0000-0003-3797-2148
deltaCaptureC,MIT,Michael Shapiro,10.18129/B9.BIOC.DELTACAPTUREC,,,
deltaGseg,GPL-2,Diana Low,10.18129/B9.BIOC.DELTAGSEG,Q21454050,,
DeMixT,GPL-3,Shuai Guo,10.18129/B9.BIOC.DEMIXT,Q89939414,en,researcher (ORCID 0000-0002-7418-6915)
DEP,Artistic-2.0,Arne Smits,10.18129/B9.BIOC.DEP,Q42648769,en,researcher
DepecheR,MIT,Jakob Theorell,10.18129/B9.BIOC.DEPECHER,Q92198238,en,researcher (ORCID 0000-0001-8752-3151)
DepInfeR,GPL-3,Junyan Lu,10.18129/B9.BIOC.DEPINFER,Q51550184,en,researcher
DEqMS,LGPL (>= 2.1),Yafeng Zhu,10.18129/B9.BIOC.DEQMS,,,
derfinderHelper,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.DERFINDERHELPER,Q56433434,en,researcher
derfinderPlot,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.DERFINDERPLOT,Q56433434,en,researcher
DEScan2,Artistic-2.0,Dario Righelli,10.18129/B9.BIOC.DESCAN2,Q64141115,en,researcher
DEsubs,GPL-3,Aristidis G. Vrahatis,10.18129/B9.BIOC.DESUBS,Q102707911,en,Ph.D. 2016
DEWSeq,LGPL (>= 2.1),bioinformatics team Hentze,10.18129/B9.BIOC.DEWSEQ,,,
DExMA,GPL-2,Juan Antonio Villatoro-García,10.18129/B9.BIOC.DEXMA,,,
DFP,GPL-2,Rodrigo Alvarez-Glez,10.18129/B9.BIOC.DFP,,,
DIAlignR,GPL-3,Shubham Gupta,10.18129/B9.BIOC.DIALIGNR,Q91296856,en,researcher (ORCID 0000-0003-3500-8152)
DiffBind,Artistic-2.0,Rory Stark,10.18129/B9.BIOC.DIFFBIND,Q42664072,en,researcher
diffcoexp,GPL (> 2),Wenbin Wei,10.18129/B9.BIOC.DIFFCOEXP,Q38319488,en,researcher (ORCID 0000-0003-1288-6999)
diffcyt,MIT,Lukas M. Weber,10.18129/B9.BIOC.DIFFCYT,,,
DifferentialRegulation,GPL-3,Simone Tiberi,10.18129/B9.BIOC.DIFFERENTIALREGULATION,Q90364833,en,researcher (ORCID 0000-0002-3054-9964)
diffGeneAnalysis,GPL,Choudary Jagarlamudi,10.18129/B9.BIOC.DIFFGENEANALYSIS,,,
diffHic,GPL-3,Aaron Lun,10.18129/B9.BIOC.DIFFHIC,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
DiffLogo,GPL (>= 2),Hendrik Treutler,10.18129/B9.BIOC.DIFFLOGO,Q56558767,en,researcher
diffloop,MIT,Caleb Lareau,10.18129/B9.BIOC.DIFFLOOP,Q58658137,en,researcher ORCID ID = 0000-0003-4179-4807
Dino,GPL-3,Jared Brown,10.18129/B9.BIOC.DINO,Q89961108,en,researcher
dir.expiry,GPL-3,Aaron Lun,10.18129/B9.BIOC.DIR.EXPIRY,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
DirichletMultinomial,LGPL (>= 2.1),Martin Morgan,10.18129/B9.BIOC.DIRICHLETMULTINOMIAL,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
discordant,GPL-3,McGrath Max,10.18129/B9.BIOC.DISCORDANT,,,
distinct,GPL (>= 3),Simone Tiberi,10.18129/B9.BIOC.DISTINCT,Q90364833,en,researcher (ORCID 0000-0002-3054-9964)
divergence,GPL-2,Wikum Dinalankara,10.18129/B9.BIOC.DIVERGENCE,Q88390965,en,researcher
dks,GPL,Jeffrey T. Leek,10.18129/B9.BIOC.DKS,Q41905110,en,biostatistician and data scientist
DMCFB,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.DMCFB,Q91246619,en,researcher (ORCID 0000-0002-6224-2609)
DMCHMM,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.DMCHMM,Q91246619,en,researcher (ORCID 0000-0002-6224-2609)
DMRforPairs,GPL (>= 2),Martin Rijlaarsdam,10.18129/B9.BIOC.DMRFORPAIRS,Q59692049,en,researcher ORCID ID = 0000-0002-2528-8077
DMRScan,GPL-3,Christian M Page,10.18129/B9.BIOC.DMRSCAN,,,
DNABarcodes,GPL-2,Tilo Buschmann,10.18129/B9.BIOC.DNABARCODES,,,
DNAcopy,GPL (>= 2),Venkatraman E. Seshan,10.18129/B9.BIOC.DNACOPY,,,
Doscheda,GPL-3,Bruno Contrino,10.18129/B9.BIOC.DOSCHEDA,,,
doseR,GPL,ake.vastermark,10.18129/B9.BIOC.DOSER,,,
dpeak,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.DPEAK,Q50903908,en,researcher
DriverNet,GPL-3,Jiarui Ding,10.18129/B9.BIOC.DRIVERNET,Q88764446,en,researcher
drugTargetInteractions,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.DRUGTARGETINTERACTIONS,Q55473652,en,researcher
DrugVsDisease,GPL-3,j. Saez-Rodriguez,10.18129/B9.BIOC.DRUGVSDISEASE,,,
dStruct,GPL (>= 2),Krishna Choudhary,10.18129/B9.BIOC.DSTRUCT,Q82756495,en,researcher
DTA,Artistic-2.0,Bjoern Schwalb,10.18129/B9.BIOC.DTA,Q102441009,en,Dr. rer. nat. Ludwig-Maximilians-Universität München 2012
Dune,MIT,Hector Roux de Bezieux,10.18129/B9.BIOC.DUNE,Q95627783,en,researcher
DynDoc,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.DYNDOC,,,
easyreporting,Artistic-2.0,Dario Righelli,10.18129/B9.BIOC.EASYREPORTING,Q64141115,en,researcher
EBarrays,GPL (>= 2),Ming Yuan,10.18129/B9.BIOC.EBARRAYS,,,
EBcoexpress,GPL (>= 2),John A. Dawson,10.18129/B9.BIOC.EBCOEXPRESS,,,
EBSEA,GPL-2,Arfa Mehmood,10.18129/B9.BIOC.EBSEA,,,
EBSeq,Artistic-2.0,Ning Leng,10.18129/B9.BIOC.EBSEQ,,,
EBSeqHMM,Artistic-2.0,Ning Leng,10.18129/B9.BIOC.EBSEQHMM,,,
ecolitk,GPL (>= 2),Laurent Gautier,10.18129/B9.BIOC.ECOLITK,Q21513832,en,botanist
EDASeq,Artistic-2.0,Davide Risso,10.18129/B9.BIOC.EDASEQ,Q55979537,en,researcher (ORCID 0000-0001-8508-5012)
edge,MIT,John D. Storey,10.18129/B9.BIOC.EDGE,Q55121965,en,genomics statistician
eegc,GPL-2,Xiaoyuan Zhou,10.18129/B9.BIOC.EEGC,Q89074957,en,researcher (ORCID 0000-0002-0930-1278)
eiR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.EIR,Q55473652,en,researcher
EMDomics,MIT,Sadhika Malladi,10.18129/B9.BIOC.EMDOMICS,,,
EmpiricalBrownsMethod,MIT,David Gibbs,10.18129/B9.BIOC.EMPIRICALBROWNSMETHOD,Q64104494,en,researcher
EnhancedVolcano,GPL-3,Kevin Blighe,10.18129/B9.BIOC.ENHANCEDVOLCANO,Q92890211,en,researcher (ORCID 0000-0002-6322-6571)
enhancerHomologSearch,GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.ENHANCERHOMOLOGSEARCH,Q60678173,en,researcher
EnMCB,GPL-2,Xin Yu,10.18129/B9.BIOC.ENMCB,Q55873625,en,researcher (ORCID 0000-0001-8996-0267)
ENmix,Artistic-2.0,Zongli Xu,10.18129/B9.BIOC.ENMIX,Q56435605,en,researcher
EnrichedHeatmap,MIT,Zuguang Gu,10.18129/B9.BIOC.ENRICHEDHEATMAP,Q44539523,en,researcher
enrichplot,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.ENRICHPLOT,Q56548905,en,researcher
enrichTF,GPL-3,Zheng Wei,10.18129/B9.BIOC.ENRICHTF,,,
ensemblVEP,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ENSEMBLVEP,,,
epialleleR,Artistic-2.0,Oleksii Nikolaienko,10.18129/B9.BIOC.EPIALLELER,Q37838408,en,researcher
EpiCompare,GPL-3,Sera Choi,10.18129/B9.BIOC.EPICOMPARE,,,
epidecodeR,GPL-3,Kandarp Joshi,10.18129/B9.BIOC.EPIDECODER,,,
EpiDISH,GPL-2,Shijie C. Zheng,10.18129/B9.BIOC.EPIDISH,,,
epigraHMM,MIT,Pedro Baldoni,10.18129/B9.BIOC.EPIGRAHMM,Q91966734,en,researcher (ORCID 0000-0002-9510-8326)
epihet,Artistic-2.0,Xiaowen Chen,10.18129/B9.BIOC.EPIHET,Q59694901,en,researcher ORCID ID = 0000-0002-3118-3837
epimutacions,MIT,Leire Abarrategui,10.18129/B9.BIOC.EPIMUTACIONS,,,
epistack,MIT,DEVAILLY Guillaume,10.18129/B9.BIOC.EPISTACK,,,
EpiTxDb,Artistic-2.0,Felix G.M. Ernst,10.18129/B9.BIOC.EPITXDB,,,
epivizr,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZR,Q35703653,en,researcher
epivizrChart,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRCHART,Q35703653,en,researcher
epivizrData,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRDATA,Q35703653,en,researcher
epivizrServer,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRSERVER,Q35703653,en,researcher
epivizrStandalone,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRSTANDALONE,Q35703653,en,researcher
erccdashboard,GPL (>= 2),Sarah Munro,10.18129/B9.BIOC.ERCCDASHBOARD,Q63616662,en,researcher (ORCID 0000-0002-3884-6592)
erma,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.ERMA,,,
ERSSA,GPL-3,Zixuan Shao,10.18129/B9.BIOC.ERSSA,,,
escape,GPL-2,Nick Borcherding,10.18129/B9.BIOC.ESCAPE,,,
