Package,License,maintainer,DOI
coMET,GPL (>= 2),Tiphaine Martin,10.18129/B9.BIOC.COMET
coMethDMR,GPL-3,Fernanda Veitzman,10.18129/B9.BIOC.COMETHDMR
compartmap,GPL-3,Benjamin Johnson,10.18129/B9.BIOC.COMPARTMAP
COMPASS,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.COMPASS
compcodeR,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.COMPCODER
ComplexHeatmap,MIT,Zuguang Gu,10.18129/B9.BIOC.COMPLEXHEATMAP
CompoundDb,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.COMPOUNDDB
ComPrAn,MIT,Petra Palenikova,10.18129/B9.BIOC.COMPRAN
conclus,GPL-3,Ilyess Rachedi,10.18129/B9.BIOC.CONCLUS
condiments,MIT,Hector Roux de Bezieux,10.18129/B9.BIOC.CONDIMENTS
CONFESS,GPL-2,Diana LOW,10.18129/B9.BIOC.CONFESS
consensus,BSD_3_clause,Tim Peters,10.18129/B9.BIOC.CONSENSUS
ConsensusClusterPlus,GPL-2,Matt Wilkerson,10.18129/B9.BIOC.CONSENSUSCLUSTERPLUS
consensusDE,GPL-3,Ashley J. Waardenberg,10.18129/B9.BIOC.CONSENSUSDE
contiBAIT,BSD_2_clause,Kieran O'Neill,10.18129/B9.BIOC.CONTIBAIT
conumee,GPL (>= 2),Volker Hovestadt,10.18129/B9.BIOC.CONUMEE
convert,LGPL (>= 2.1),Yee Hwa (Jean) Yang,10.18129/B9.BIOC.CONVERT
copa,Artistic-2.0,James W. MacDonald,10.18129/B9.BIOC.COPA
copynumber,Artistic-2.0,Gro Nilsen,10.18129/B9.BIOC.COPYNUMBER
CopyNumberPlots,Artistic-2.0,Bernat Gel,10.18129/B9.BIOC.COPYNUMBERPLOTS
CopywriteR,GPL-2,Oscar Krijgsman,10.18129/B9.BIOC.COPYWRITER
coRdon,Artistic-2.0,Anamaria Elek,10.18129/B9.BIOC.CORDON
CoRegNet,GPL-3,Remy Nicolle,10.18129/B9.BIOC.COREGNET
Cormotif,GPL-2,Yingying Wei,10.18129/B9.BIOC.CORMOTIF
corral,GPL-2,Lauren Hsu,10.18129/B9.BIOC.CORRAL
CORREP,GPL (>= 2),Dongxiao Zhu,10.18129/B9.BIOC.CORREP
coseq,GPL-3,Andrea Rau,10.18129/B9.BIOC.COSEQ
cosmiq,GPL-3,David Fischer,10.18129/B9.BIOC.COSMIQ
cosmosR,GPL-3,Attila Gabor,10.18129/B9.BIOC.COSMOSR
COSNet,GPL (>= 2),Marco Frasca,10.18129/B9.BIOC.COSNET
COTAN,GPL-3,Galfrè Silvia Giulia,10.18129/B9.BIOC.COTAN
countsimQC,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.COUNTSIMQC
covEB,GPL-3,C. Pacini,10.18129/B9.BIOC.COVEB
CoverageView,Artistic-2.0,Ernesto Lowy,10.18129/B9.BIOC.COVERAGEVIEW
covRNA,GPL (>= 2),Lara Urban,10.18129/B9.BIOC.COVRNA
cpvSNP,Artistic-2.0,Caitlin McHugh,10.18129/B9.BIOC.CPVSNP
cqn,Artistic-2.0,Kasper Daniel Hansen,10.18129/B9.BIOC.CQN
CRImage,Artistic-2.0,Henrik Failmezger,10.18129/B9.BIOC.CRIMAGE
crisprBase,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBASE
crisprBowtie,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBOWTIE
crisprBwa,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRBWA
crisprScore,MIT,Jean-Philippe Fortin,10.18129/B9.BIOC.CRISPRSCORE
CRISPRseek,GPL (>= 2),Lihua Julie Zhu,10.18129/B9.BIOC.CRISPRSEEK
crisprseekplus,GPL-3,Alper Kucukural,10.18129/B9.BIOC.CRISPRSEEKPLUS
crlmm,Artistic-2.0,Benilton S Carvalho,10.18129/B9.BIOC.CRLMM
crossmeta,MIT,Alex Pickering,10.18129/B9.BIOC.CROSSMETA
CSAR,Artistic-2.0,Jose M Muino,10.18129/B9.BIOC.CSAR
csaw,GPL-3,Aaron Lun,10.18129/B9.BIOC.CSAW
csdR,GPL-3,Jakob Peder Pettersen,10.18129/B9.BIOC.CSDR
CSSP,GPL-2,Chandler Zuo,10.18129/B9.BIOC.CSSP
CSSQ,Artistic-2.0,Fan Lab at Georgia Institute of Technology,10.18129/B9.BIOC.CSSQ
ctc,GPL-2,Antoine Lucas,10.18129/B9.BIOC.CTC
CTDquerier,MIT,Xavier Escribà-Montagut,10.18129/B9.BIOC.CTDQUERIER
ctgGEM,GPL (>= 2),USD Biomedical Engineering,10.18129/B9.BIOC.CTGGEM
cTRAP,MIT,Nuno Saraiva-Agostinho,10.18129/B9.BIOC.CTRAP
ctsGE,GPL-2,Michal Sharabi-Schwager,10.18129/B9.BIOC.CTSGE
cummeRbund,Artistic-2.0,Loyal A. Goff,10.18129/B9.BIOC.CUMMERBUND
customCMPdb,Artistic-2.0,Yuzhu Duan,10.18129/B9.BIOC.CUSTOMCMPDB
cyanoFilter,MIT,Oluwafemi Olusoji,10.18129/B9.BIOC.CYANOFILTER
cycle,GPL-2,Matthias Futschik,10.18129/B9.BIOC.CYCLE
CytoDx,GPL-2,Zicheng Hu,10.18129/B9.BIOC.CYTODX
CyTOFpower,LGPL (>= 2.1),Anne-Maud Ferreira,10.18129/B9.BIOC.CYTOFPOWER
CytoGLMM,LGPL (>= 2.1),Christof Seiler,10.18129/B9.BIOC.CYTOGLMM
cytoKernel,GPL-3,Tusharkanti Ghosh,10.18129/B9.BIOC.CYTOKERNEL
cytoMEM,GPL-3,Jonathan Irish,10.18129/B9.BIOC.CYTOMEM
CytoTree,GPL-3,Yuting Dai,10.18129/B9.BIOC.CYTOTREE
daMA,GPL (>= 2),Jobst Landgrebe,10.18129/B9.BIOC.DAMA
DAPAR,Artistic-2.0,Samuel Wieczorek,10.18129/B9.BIOC.DAPAR
dasper,Artistic-2.0,David Zhang,10.18129/B9.BIOC.DASPER
dcanr,GPL-3,Dharmesh D. Bhuva,10.18129/B9.BIOC.DCANR
dce,GPL-3,Kim Philipp Jablonski,10.18129/B9.BIOC.DCE
dcGSA,GPL-2,Jiehuan sun,10.18129/B9.BIOC.DCGSA
ddCt,LGPL (>= 2.1),Jitao David Zhang,10.18129/B9.BIOC.DDCT
ddPCRclust,Artistic-2.0,Benedikt G. Brink,10.18129/B9.BIOC.DDPCRCLUST
debCAM,GPL-2,Lulu Chen,10.18129/B9.BIOC.DEBCAM
DECIPHER,GPL-3,Erik Wright,10.18129/B9.BIOC.DECIPHER
DEComplexDisease,GPL-3,Guofeng Meng,10.18129/B9.BIOC.DECOMPLEXDISEASE
decompTumor2Sig,GPL-2,Rosario M. Piro,10.18129/B9.BIOC.DECOMPTUMOR2SIG
DeconRNASeq,GPL-2,Ting Gong,10.18129/B9.BIOC.DECONRNASEQ
deconvR,Artistic-2.0,İrem B. Gündüz,10.18129/B9.BIOC.DECONVR
decoupleR,GPL-3,Pau Badia-i-Mompel,10.18129/B9.BIOC.DECOUPLER
DeepBlueR,GPL (>= 2.0),Felipe Albrecht,10.18129/B9.BIOC.DEEPBLUER
DeepPINCS,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.DEEPPINCS
deepSNV,GPL-3,Moritz Gerstung,10.18129/B9.BIOC.DEEPSNV
DEFormats,GPL-3,Andrzej Oleś,10.18129/B9.BIOC.DEFORMATS
DegNorm,LGPL (>= 2.1),Ji-Ping Wang,10.18129/B9.BIOC.DEGNORM
DEGraph,GPL-3,Laurent Jacob,10.18129/B9.BIOC.DEGRAPH
DEGreport,MIT,Lorena Pantano,10.18129/B9.BIOC.DEGREPORT
DEGseq,LGPL (>= 2.1),Likun Wang,10.18129/B9.BIOC.DEGSEQ
DelayedArray,Artistic-2.0,Hervé Pagès,10.18129/B9.BIOC.DELAYEDARRAY
DelayedDataFrame,GPL-3,Qian Liu,10.18129/B9.BIOC.DELAYEDDATAFRAME
DelayedMatrixStats,MIT,Peter Hickey,10.18129/B9.BIOC.DELAYEDMATRIXSTATS
DelayedRandomArray,GPL-3,Aaron Lun,10.18129/B9.BIOC.DELAYEDRANDOMARRAY
DelayedTensor,Artistic-2.0,Koki Tsuyuzaki,10.18129/B9.BIOC.DELAYEDTENSOR
deltaCaptureC,MIT,Michael Shapiro,10.18129/B9.BIOC.DELTACAPTUREC
deltaGseg,GPL-2,Diana Low,10.18129/B9.BIOC.DELTAGSEG
DeMixT,GPL-3,Shuai Guo,10.18129/B9.BIOC.DEMIXT
DEP,Artistic-2.0,Arne Smits,10.18129/B9.BIOC.DEP
DepecheR,MIT,Jakob Theorell,10.18129/B9.BIOC.DEPECHER
DepInfeR,GPL-3,Junyan Lu,10.18129/B9.BIOC.DEPINFER
DEqMS,LGPL (>= 2.1),Yafeng Zhu,10.18129/B9.BIOC.DEQMS
derfinderHelper,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.DERFINDERHELPER
derfinderPlot,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.DERFINDERPLOT
DEScan2,Artistic-2.0,Dario Righelli,10.18129/B9.BIOC.DESCAN2
DESeq2,LGPL (>= 2.1),Michael Love,10.18129/B9.BIOC.DESEQ2
DEsubs,GPL-3,Aristidis G. Vrahatis,10.18129/B9.BIOC.DESUBS
DEWSeq,LGPL (>= 2.1),bioinformatics team Hentze,10.18129/B9.BIOC.DEWSEQ
DExMA,GPL-2,Juan Antonio Villatoro-García,10.18129/B9.BIOC.DEXMA
DFP,GPL-2,Rodrigo Alvarez-Glez,10.18129/B9.BIOC.DFP
DIAlignR,GPL-3,Shubham Gupta,10.18129/B9.BIOC.DIALIGNR
DiffBind,Artistic-2.0,Rory Stark,10.18129/B9.BIOC.DIFFBIND
diffcoexp,GPL (> 2),Wenbin Wei,10.18129/B9.BIOC.DIFFCOEXP
diffcyt,MIT,Lukas M. Weber,10.18129/B9.BIOC.DIFFCYT
DifferentialRegulation,GPL-3,Simone Tiberi,10.18129/B9.BIOC.DIFFERENTIALREGULATION
diffGeneAnalysis,GPL,Choudary Jagarlamudi,10.18129/B9.BIOC.DIFFGENEANALYSIS
diffHic,GPL-3,Aaron Lun,10.18129/B9.BIOC.DIFFHIC
DiffLogo,GPL (>= 2),Hendrik Treutler,10.18129/B9.BIOC.DIFFLOGO
diffloop,MIT,Caleb Lareau,10.18129/B9.BIOC.DIFFLOOP
Dino,GPL-3,Jared Brown,10.18129/B9.BIOC.DINO
dir.expiry,GPL-3,Aaron Lun,10.18129/B9.BIOC.DIR.EXPIRY
DirichletMultinomial,LGPL (>= 2.1),Martin Morgan,10.18129/B9.BIOC.DIRICHLETMULTINOMIAL
discordant,GPL-3,McGrath Max,10.18129/B9.BIOC.DISCORDANT
distinct,GPL (>= 3),Simone Tiberi,10.18129/B9.BIOC.DISTINCT
divergence,GPL-2,Wikum Dinalankara,10.18129/B9.BIOC.DIVERGENCE
dks,GPL,Jeffrey T. Leek,10.18129/B9.BIOC.DKS
DMCFB,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.DMCFB
DMCHMM,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.DMCHMM
DMRforPairs,GPL (>= 2),Martin Rijlaarsdam,10.18129/B9.BIOC.DMRFORPAIRS
DMRScan,GPL-3,Christian M Page,10.18129/B9.BIOC.DMRSCAN
DNABarcodes,GPL-2,Tilo Buschmann,10.18129/B9.BIOC.DNABARCODES
DNAcopy,GPL (>= 2),Venkatraman E. Seshan,10.18129/B9.BIOC.DNACOPY
Doscheda,GPL-3,Bruno Contrino,10.18129/B9.BIOC.DOSCHEDA
doseR,GPL,ake.vastermark,10.18129/B9.BIOC.DOSER
dpeak,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.DPEAK
DriverNet,GPL-3,Jiarui Ding,10.18129/B9.BIOC.DRIVERNET
drugTargetInteractions,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.DRUGTARGETINTERACTIONS
DrugVsDisease,GPL-3,j. Saez-Rodriguez,10.18129/B9.BIOC.DRUGVSDISEASE
dStruct,GPL (>= 2),Krishna Choudhary,10.18129/B9.BIOC.DSTRUCT
DTA,Artistic-2.0,Bjoern Schwalb,10.18129/B9.BIOC.DTA
Dune,MIT,Hector Roux de Bezieux,10.18129/B9.BIOC.DUNE
DynDoc,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.DYNDOC
easyreporting,Artistic-2.0,Dario Righelli,10.18129/B9.BIOC.EASYREPORTING
EBarrays,GPL (>= 2),Ming Yuan,10.18129/B9.BIOC.EBARRAYS
EBcoexpress,GPL (>= 2),John A. Dawson,10.18129/B9.BIOC.EBCOEXPRESS
EBSEA,GPL-2,Arfa Mehmood,10.18129/B9.BIOC.EBSEA
EBSeq,Artistic-2.0,Ning Leng,10.18129/B9.BIOC.EBSEQ
EBSeqHMM,Artistic-2.0,Ning Leng,10.18129/B9.BIOC.EBSEQHMM
ecolitk,GPL (>= 2),Laurent Gautier,10.18129/B9.BIOC.ECOLITK
EDASeq,Artistic-2.0,Davide Risso,10.18129/B9.BIOC.EDASEQ
edge,MIT,John D. Storey,10.18129/B9.BIOC.EDGE
eegc,GPL-2,Xiaoyuan Zhou,10.18129/B9.BIOC.EEGC
eiR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.EIR
EMDomics,MIT,Sadhika Malladi,10.18129/B9.BIOC.EMDOMICS
EmpiricalBrownsMethod,MIT,David Gibbs,10.18129/B9.BIOC.EMPIRICALBROWNSMETHOD
EnhancedVolcano,GPL-3,Kevin Blighe,10.18129/B9.BIOC.ENHANCEDVOLCANO
enhancerHomologSearch,GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.ENHANCERHOMOLOGSEARCH
EnMCB,GPL-2,Xin Yu,10.18129/B9.BIOC.ENMCB
ENmix,Artistic-2.0,Zongli Xu,10.18129/B9.BIOC.ENMIX
EnrichedHeatmap,MIT,Zuguang Gu,10.18129/B9.BIOC.ENRICHEDHEATMAP
enrichplot,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.ENRICHPLOT
enrichTF,GPL-3,Zheng Wei,10.18129/B9.BIOC.ENRICHTF
ensemblVEP,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ENSEMBLVEP
epialleleR,Artistic-2.0,Oleksii Nikolaienko,10.18129/B9.BIOC.EPIALLELER
EpiCompare,GPL-3,Sera Choi,10.18129/B9.BIOC.EPICOMPARE
epidecodeR,GPL-3,Kandarp Joshi,10.18129/B9.BIOC.EPIDECODER
EpiDISH,GPL-2,Shijie C. Zheng,10.18129/B9.BIOC.EPIDISH
epigraHMM,MIT,Pedro Baldoni,10.18129/B9.BIOC.EPIGRAHMM
epihet,Artistic-2.0,Xiaowen Chen,10.18129/B9.BIOC.EPIHET
epimutacions,MIT,Leire Abarrategui,10.18129/B9.BIOC.EPIMUTACIONS
epistack,MIT,DEVAILLY Guillaume,10.18129/B9.BIOC.EPISTACK
EpiTxDb,Artistic-2.0,Felix G.M. Ernst,10.18129/B9.BIOC.EPITXDB
epivizr,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZR
epivizrChart,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRCHART
epivizrData,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRDATA
epivizrServer,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRSERVER
epivizrStandalone,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.EPIVIZRSTANDALONE
erccdashboard,GPL (>= 2),Sarah Munro,10.18129/B9.BIOC.ERCCDASHBOARD
erma,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.ERMA
ERSSA,GPL-3,Zixuan Shao,10.18129/B9.BIOC.ERSSA
escape,GPL-2,Nick Borcherding,10.18129/B9.BIOC.ESCAPE
esetVis,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.ESETVIS
eudysbiome,GPL-2,Xiaoyuan Zhou,10.18129/B9.BIOC.EUDYSBIOME
evaluomeR,GPL-3,José Antonio Bernabé-Díaz,10.18129/B9.BIOC.EVALUOMER
EWCE,GPL-3,Alan Murphy,10.18129/B9.BIOC.EWCE
ExCluster,GPL-3,R. Matthew Tanner,10.18129/B9.BIOC.EXCLUSTER
ExiMiR,GPL-2,Sylvain Gubian,10.18129/B9.BIOC.EXIMIR
exomeCopy,GPL (>= 2),Michael Love,10.18129/B9.BIOC.EXOMECOPY
exomePeak2,Artistic-2.0,Zhen Wei,10.18129/B9.BIOC.EXOMEPEAK2
ExperimentHub,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.EXPERIMENTHUB
ExperimentHubData,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.EXPERIMENTHUBDATA
ExperimentSubset,MIT,Irzam Sarfraz,10.18129/B9.BIOC.EXPERIMENTSUBSET
ExploreModelMatrix,MIT,Charlotte Soneson,10.18129/B9.BIOC.EXPLOREMODELMATRIX
ExpressionAtlas,GPL (>= 3),Pedro Madrigal,10.18129/B9.BIOC.EXPRESSIONATLAS
extraChIPs,GPL-3,Stephen Pederson,10.18129/B9.BIOC.EXTRACHIPS
fabia,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.FABIA
factDesign,LGPL (>= 2.1),Denise Scholtens,10.18129/B9.BIOC.FACTDESIGN
famat,GPL-3,Mathieu Charles,10.18129/B9.BIOC.FAMAT
farms,LGPL (>= 2.1),Djork-Arne Clevert,10.18129/B9.BIOC.FARMS
fastLiquidAssociation,GPL-2,Tina Gunderson,10.18129/B9.BIOC.FASTLIQUIDASSOCIATION
FastqCleaner,MIT,Leandro Roser,10.18129/B9.BIOC.FASTQCLEANER
fastreeR,GPL-3,Anestis Gkanogiannis,10.18129/B9.BIOC.FASTREER
FCBF,MIT,Tiago Lubiana,10.18129/B9.BIOC.FCBF
fCI,GPL (>= 2),Shaojun Tang,10.18129/B9.BIOC.FCI
fcoex,GPL-3,Tiago Lubiana,10.18129/B9.BIOC.FCOEX
fcScan,Artistic-2.0,Pierre Khoueiry,10.18129/B9.BIOC.FCSCAN
fdrame,GPL (>= 2),Effi Kenigsberg,10.18129/B9.BIOC.FDRAME
FEAST,GPL-2,Kenong Su,10.18129/B9.BIOC.FEAST
fedup,MIT,Catherine Ross,10.18129/B9.BIOC.FEDUP
fgga,GPL-3,Spetale Flavio,10.18129/B9.BIOC.FGGA
FilterFFPE,LGPL (>= 2.1),Lanying Wei,10.18129/B9.BIOC.FILTERFFPE
FISHalyseR,Artistic-2.0,Karesh Arunakirinathan,10.18129/B9.BIOC.FISHALYSER
FitHiC,GPL (>= 2),Ruyu Tan,10.18129/B9.BIOC.FITHIC
flagme,LGPL (>= 2.1),Mark Robinson,10.18129/B9.BIOC.FLAGME
FLAMES,GPL (>= 2),Voogd Oliver,10.18129/B9.BIOC.FLAMES
flowBeads,Artistic-2.0,Nikolas Pontikos,10.18129/B9.BIOC.FLOWBEADS
flowBin,Artistic-2.0,Kieran O'Neill,10.18129/B9.BIOC.FLOWBIN
flowcatchR,BSD_3_clause,Federico Marini,10.18129/B9.BIOC.FLOWCATCHR
flowCHIC,GPL-2,Author: Joachim Schumann,10.18129/B9.BIOC.FLOWCHIC
flowCL,Artistic-2.0,Justin Meskas,10.18129/B9.BIOC.FLOWCL
flowClean,Artistic-2.0,Kipper Fletez-Brant,10.18129/B9.BIOC.FLOWCLEAN
flowClust,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWCLUST
flowCore,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.FLOWCORE
flowCut,Artistic-2.0,Justin Meskas,10.18129/B9.BIOC.FLOWCUT
flowCyBar,GPL-2,Joachim Schumann,10.18129/B9.BIOC.FLOWCYBAR
flowDensity,Artistic-2.0,Mehrnoush Malek,10.18129/B9.BIOC.FLOWDENSITY
flowFP,Artistic-2.0,Herb Holyst,10.18129/B9.BIOC.FLOWFP
flowGraph,Artistic-2.0,Alice Yue,10.18129/B9.BIOC.FLOWGRAPH
flowMap,GPL (>= 2),Chiaowen Joyce Hsiao,10.18129/B9.BIOC.FLOWMAP
flowMatch,Artistic-2.0,Ariful Azad,10.18129/B9.BIOC.FLOWMATCH
flowMeans,Artistic-2.0,Nima Aghaeepour,10.18129/B9.BIOC.FLOWMEANS
flowMerge,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWMERGE
flowPeaks,Artistic-1.0,Yongchao Ge,10.18129/B9.BIOC.FLOWPEAKS
flowPlots,Artistic-2.0,N. Hawkins,10.18129/B9.BIOC.FLOWPLOTS
FlowSOM,GPL (>= 2),Sofie Van Gassen,10.18129/B9.BIOC.FLOWSOM
flowSpecs,MIT,Jakob Theorell,10.18129/B9.BIOC.FLOWSPECS
flowStats,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWSTATS
flowTime,Artistic-2.0,R. Clay Wright,10.18129/B9.BIOC.FLOWTIME
flowTrans,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWTRANS
flowUtils,Artistic-2.0,Josef Spidlen,10.18129/B9.BIOC.FLOWUTILS
flowViz,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.FLOWVIZ
flowVS,Artistic-2.0,Ariful Azad,10.18129/B9.BIOC.FLOWVS
fmcsR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.FMCSR
fmrs,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.FMRS
FRASER,MIT,Christian Mertes,10.18129/B9.BIOC.FRASER
frenchFISH,Artistic-2.0,Adam Berman,10.18129/B9.BIOC.FRENCHFISH
FRGEpistasis,GPL-2,Futao Zhang,10.18129/B9.BIOC.FRGEPISTASIS
frma,GPL (>= 2),Matthew N. McCall,10.18129/B9.BIOC.FRMA
frmaTools,GPL (>= 2),Matthew N. McCall,10.18129/B9.BIOC.FRMATOOLS
FScanR,Artistic-2.0,Xiao Chen,10.18129/B9.BIOC.FSCANR
FunChIP,Artistic-2.0,Alice Parodi,10.18129/B9.BIOC.FUNCHIP
funtooNorm,GPL-3,Kathleen Klein,10.18129/B9.BIOC.FUNTOONORM
GA4GHclient,GPL (>= 2),Welliton Souza,10.18129/B9.BIOC.GA4GHCLIENT
GA4GHshiny,GPL-3,Welliton Souza,10.18129/B9.BIOC.GA4GHSHINY
gaga,GPL (>= 2),David Rossell,10.18129/B9.BIOC.GAGA
gage,GPL (>= 2.0),Weijun Luo,10.18129/B9.BIOC.GAGE
gaggle,GPL (>= 2),Christopher Bare,10.18129/B9.BIOC.GAGGLE
gaia,GPL-2,S. Morganella,10.18129/B9.BIOC.GAIA
GAPGOM,MIT,Rezvan Ehsani,10.18129/B9.BIOC.GAPGOM
GAprediction,GPL (>= 2),Jon Bohlin,10.18129/B9.BIOC.GAPREDICTION
garfield,GPL-3,Valentina Iotchkova,10.18129/B9.BIOC.GARFIELD
GateFinder,Artistic-2.0,Nima Aghaeepour,10.18129/B9.BIOC.GATEFINDER
GBScleanR,GPL-3,Tomoyuki Furuta,10.18129/B9.BIOC.GBSCLEANR
gcatest,GPL-3,Wei Hao,10.18129/B9.BIOC.GCATEST
gCrisprTools,Artistic-2.0,Russell Bainer,10.18129/B9.BIOC.GCRISPRTOOLS
gcrma,LGPL (>= 2.1),Z. Wu,10.18129/B9.BIOC.GCRMA
GCSConnection,GPL (>= 2),Jiefei Wang,10.18129/B9.BIOC.GCSCONNECTION
GCSFilesystem,GPL (>= 2),Jiefei Wang,10.18129/B9.BIOC.GCSFILESYSTEM
GCSscore,GPL (>= 3),Guy M. Harris,10.18129/B9.BIOC.GCSSCORE
GDCRNATools,Artistic-2.0,Ruidong Li,10.18129/B9.BIOC.GDCRNATOOLS
GDSArray,GPL-3,Qian Liu,10.18129/B9.BIOC.GDSARRAY
GEM,Artistic-2.0,Hong Pan,10.18129/B9.BIOC.GEM
gemini,BSD_3_clause,Sidharth Jain,10.18129/B9.BIOC.GEMINI
genbankr,Artistic-2.0,Gabriel Becker,10.18129/B9.BIOC.GENBANKR
geneAttribution,Artistic-2.0,Arthur Wuster,10.18129/B9.BIOC.GENEATTRIBUTION
GeneBreak,GPL-2,Evert van den Broek,10.18129/B9.BIOC.GENEBREAK
geneClassifiers,GPL-2,R Kuiper,10.18129/B9.BIOC.GENECLASSIFIERS
genefilter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEFILTER
genefu,Artistic-2.0,Benjamin Haibe-Kains,10.18129/B9.BIOC.GENEFU
GeneGA,GPL-2,Zhenpeng Li,10.18129/B9.BIOC.GENEGA
GeneMeta,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEMETA
GeneNetworkBuilder,GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.GENENETWORKBUILDER
GeneOverlap,GPL-3,Ant,10.18129/B9.BIOC.GENEOVERLAP
geneplotter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEPLOTTER
geneRecommender,GPL (>= 2),Greg Hather,10.18129/B9.BIOC.GENERECOMMENDER
GeneRegionScan,GPL (>= 2),Lasse Folkersen,10.18129/B9.BIOC.GENEREGIONSCAN
GeneSelectMMD,GPL (>= 2),Weiliang Qiu,10.18129/B9.BIOC.GENESELECTMMD
GeneStructureTools,BSD_3_clause,Beth Signal,10.18129/B9.BIOC.GENESTRUCTURETOOLS
GeneticsPed,LGPL (>= 2.1),David Henderson,10.18129/B9.BIOC.GENETICSPED
geneXtendeR,GPL (>= 3),Bohdan Khomtchouk,10.18129/B9.BIOC.GENEXTENDER
genoCN,GPL (>= 2),Wei Sun,10.18129/B9.BIOC.GENOCN
GenomeInfoDb,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENOMEINFODB
genomeIntervals,Artistic-2.0,Julien Gagneur,10.18129/B9.BIOC.GENOMEINTERVALS
genomes,GPL-3,Chris Stubben,10.18129/B9.BIOC.GENOMES
GenomicDataCommons,Artistic-2.0,Sean Davis,10.18129/B9.BIOC.GENOMICDATACOMMONS
GenomicDistributions,BSD_2_clause,Kristyna Kupkova,10.18129/B9.BIOC.GENOMICDISTRIBUTIONS
GenomicFiles,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENOMICFILES
GenomicOZone,LGPL (>= 2.1),Hua Zhong,10.18129/B9.BIOC.GENOMICOZONE
GenomicScores,Artistic-2.0,Robert Castelo,10.18129/B9.BIOC.GENOMICSCORES
GenomicSuperSignature,Artistic-2.0,Sehyun Oh,10.18129/B9.BIOC.GENOMICSUPERSIGNATURE
genphen,GPL (>= 2),Simo Kitanovski,10.18129/B9.BIOC.GENPHEN
GenProSeq,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.GENPROSEQ
GenVisR,GPL-3,Zachary Skidmore,10.18129/B9.BIOC.GENVISR
GeoDiff,MIT,Nicole Ortogero,10.18129/B9.BIOC.GEODIFF
GEOexplorer,GPL-3,Guy Hunt,10.18129/B9.BIOC.GEOEXPLORER
GEOfastq,MIT,Alex Pickering,10.18129/B9.BIOC.GEOFASTQ
GeomxTools,MIT,Nicole Ortogero,10.18129/B9.BIOC.GEOMXTOOLS
GEOquery,MIT,Sean Davis,10.18129/B9.BIOC.GEOQUERY
GEOsubmission,GPL (>= 2),Alexandre Kuhn,10.18129/B9.BIOC.GEOSUBMISSION
gep2pep,GPL-3,Francesco Napolitano,10.18129/B9.BIOC.GEP2PEP
gespeR,GPL-3,Fabian Schmich,10.18129/B9.BIOC.GESPER
