Package,Version,Depends,License,DOI
bumphunter,1.38.0,"R (>= 3.5), S4Vectors (>= 0.9.25), IRanges (>= 2.3.23),
GenomeInfoDb, GenomicRanges, foreach, iterators, methods,
parallel, locfit",Artistic-2.0,10.18129/B9.BIOC.BUMPHUNTER
BumpyMatrix,1.4.0,NA,MIT,10.18129/B9.BIOC.BUMPYMATRIX
BUS,1.52.0,"R (>= 2.3.0), minet",GPL-3,10.18129/B9.BIOC.BUS
BUScorrect,1.14.0,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.BUSCORRECT
BUSpaRse,1.10.0,R (>= 3.6),BSD_2_clause,10.18129/B9.BIOC.BUSPARSE
BUSseq,1.2.0,R (>= 3.6),Artistic-2.0,10.18129/B9.BIOC.BUSSEQ
CAEN,1.4.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.CAEN
CAFE,1.32.0,"R (>= 2.10), biovizBase, GenomicRanges, IRanges, ggbio",GPL-3,10.18129/B9.BIOC.CAFE
CAGEfightR,1.16.0,"R (>= 3.5), GenomicRanges (>= 1.30.1), rtracklayer (>=
1.38.2), SummarizedExperiment (>= 1.8.1)",GPL-3,10.18129/B9.BIOC.CAGEFIGHTR
cageminer,1.2.2,R (>= 4.1),GPL-3,10.18129/B9.BIOC.CAGEMINER
CAGEr,2.2.0,"methods, MultiAssayExperiment, R (>= 4.1.0)",GPL-3,10.18129/B9.BIOC.CAGER
calm,1.10.0,NA,GPL (>= 2),10.18129/B9.BIOC.CALM
CAMERA,1.52.0,"R (>= 3.5.0), methods, Biobase, xcms (>= 1.13.5)",GPL (>= 2),10.18129/B9.BIOC.CAMERA
canceR,1.30.01,"R (>= 4.1), tcltk",GPL-2,10.18129/B9.BIOC.CANCER
cancerclass,1.40.0,"R (>= 2.14.0), Biobase, binom, methods, stats",GPL-3,10.18129/B9.BIOC.CANCERCLASS
CancerInSilico,2.16.0,"R (>= 3.4), Rcpp",GPL-2,10.18129/B9.BIOC.CANCERINSILICO
CancerSubtypes,1.22.0,"R (>= 4.0), sigclust, NMF",GPL (>= 2),10.18129/B9.BIOC.CANCERSUBTYPES
CAnD,1.27.0,NA,Artistic-2.0,10.18129/B9.BIOC.CAND
caOmicsV,1.25.0,"R (>= 3.2), igraph (>= 0.7.1), bc3net (>= 1.0.2)",GPL (>= 2.0),10.18129/B9.BIOC.CAOMICSV
Cardinal,2.14.0,"BiocGenerics, BiocParallel, EBImage, graphics, methods,
S4Vectors (>= 0.27.3), stats, ProtGenerics",Artistic-2.0,10.18129/B9.BIOC.CARDINAL
CARNIVAL,2.6.2,R (>= 4.0),GPL-3,10.18129/B9.BIOC.CARNIVAL
casper,2.30.0,"R (>= 3.6.0), Biobase, IRanges, methods, GenomicRanges",GPL (>= 2),10.18129/B9.BIOC.CASPER
CATALYST,1.20.1,"R (>= 4.0), SingleCellExperiment",GPL (>= 2),10.18129/B9.BIOC.CATALYST
Category,2.62.0,"methods, stats4, BiocGenerics, AnnotationDbi, Biobase, Matrix",Artistic-2.0,10.18129/B9.BIOC.CATEGORY
categoryCompare,1.40.0,"R (>= 2.10), Biobase, BiocGenerics (>= 0.13.8),",GPL-2,10.18129/B9.BIOC.CATEGORYCOMPARE
CausalR,1.28.0,R (>= 3.2.0),GPL (>= 2),10.18129/B9.BIOC.CAUSALR
cbaf,1.18.4,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.CBAF
CBEA,1.0.0,R (>= 4.2.0),MIT,10.18129/B9.BIOC.CBEA
cBioPortalData,2.8.2,"R (>= 4.2.0), AnVIL (>= 1.7.1), MultiAssayExperiment",AGPL-3,10.18129/B9.BIOC.CBIOPORTALDATA
cbpManager,1.4.0,"shiny, shinydashboard",AGPL-3,10.18129/B9.BIOC.CBPMANAGER
ccfindR,1.16.0,R (>= 3.6.0),GPL (>= 2),10.18129/B9.BIOC.CCFINDR
ccmap,1.22.0,NA,MIT,10.18129/B9.BIOC.CCMAP
CCPROMISE,1.22.0,"R (>= 3.3.0), stats, methods, CCP, PROMISE, Biobase, GSEABase,
utils",GPL (>= 2),10.18129/B9.BIOC.CCPROMISE
ccrepe,1.32.0,NA,MIT,10.18129/B9.BIOC.CCREPE
celaref,1.14.0,"R (>= 3.5.0), SummarizedExperiment",GPL-3,10.18129/B9.BIOC.CELAREF
celda,1.12.0,"R (>= 4.0), SingleCellExperiment, Matrix",MIT,10.18129/B9.BIOC.CELDA
CellaRepertorium,1.6.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.CELLAREPERTORIUM
CellBarcode,1.2.0,R (>= 4.1.0),MIT,10.18129/B9.BIOC.CELLBARCODE
cellbaseR,1.20.1,R(>= 3.4),Apache License (== 2.0),10.18129/B9.BIOC.CELLBASER
CellBench,1.12.0,"R (>= 3.6), SingleCellExperiment, magrittr, methods, stats,
tibble, utils",GPL-3,10.18129/B9.BIOC.CELLBENCH
cellHTS2,2.60.0,"R (>= 2.10), RColorBrewer, Biobase, methods, genefilter,
splots, vsn, hwriter, locfit, grid",Artistic-2.0,10.18129/B9.BIOC.CELLHTS2
CelliD,1.4.0,"R (>= 4.1), Seurat (>= 4.0.1), SingleCellExperiment",GPL-3,10.18129/B9.BIOC.CELLID
cellity,1.24.0,R (>= 3.3),GPL (>= 2),10.18129/B9.BIOC.CELLITY
CellMapper,1.22.0,"S4Vectors, methods",Artistic-2.0,10.18129/B9.BIOC.CELLMAPPER
cellmigRation,1.4.0,"R (>= 4.1), methods, foreach",GPL-2,10.18129/B9.BIOC.CELLMIGRATION
CellMixS,1.12.0,"kSamples, R (>= 4.0)",GPL (>= 2),10.18129/B9.BIOC.CELLMIXS
CellNOptR,1.42.1,"R (>= 4.0.0), RBGL, graph, methods, RCurl, Rgraphviz, XML,
ggplot2, rmarkdown",GPL-3,10.18129/B9.BIOC.CELLNOPTR
cellscape,1.20.0,R (>= 3.3),GPL-3,10.18129/B9.BIOC.CELLSCAPE
CellScore,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.CELLSCORE
CellTrails,1.14.0,"R (>= 3.5), SingleCellExperiment",Artistic-2.0,10.18129/B9.BIOC.CELLTRAILS
cellTree,1.26.0,"R (>= 3.3), topGO",Artistic-2.0,10.18129/B9.BIOC.CELLTREE
cellxgenedp,1.0.0,NA,Artistic-2.0,10.18129/B9.BIOC.CELLXGENEDP
CEMiTool,1.20.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.CEMITOOL
censcyt,1.4.0,"R (>= 4.0), diffcyt",MIT,10.18129/B9.BIOC.CENSCYT
Cepo,1.2.0,"GSEABase, R (>= 4.1)",MIT,10.18129/B9.BIOC.CEPO
ceRNAnetsim,1.8.0,"R (>= 4.0.0), dplyr, tidygraph",GPL (>= 3.0),10.18129/B9.BIOC.CERNANETSIM
CeTF,1.8.0,"R (>= 4.0), methods",GPL-3,10.18129/B9.BIOC.CETF
CexoR,1.34.0,"R (>= 4.0.0), S4Vectors, IRanges",Artistic-2.0,10.18129/B9.BIOC.CEXOR
CFAssay,1.30.0,R (>= 2.10.0),LGPL,10.18129/B9.BIOC.CFASSAY
cfDNAPro,1.2.0,"R (>= 4.0), magrittr (>= 1.5.0),",GPL-3,10.18129/B9.BIOC.CFDNAPRO
CGEN,3.32.0,"R (>= 4.0), survival, mvtnorm",GPL-2,10.18129/B9.BIOC.CGEN
CGHbase,1.56.0,"R (>= 2.10), methods, Biobase (>= 2.5.5), marray",GPL,10.18129/B9.BIOC.CGHBASE
cghMCR,1.54.0,"methods, DNAcopy, CNTools, limma",LGPL,10.18129/B9.BIOC.CGHMCR
CGHnormaliter,1.50.0,"CGHcall (>= 2.17.0), CGHbase (>= 1.15.0)",GPL (>= 3),10.18129/B9.BIOC.CGHNORMALITER
ChAMP,2.26.0,"R (>= 3.3), minfi, ChAMPdata (>= 2.6.0),DMRcate,
Illumina450ProbeVariants.db,IlluminaHumanMethylationEPICmanifest,
DT, RPMM",GPL-3,10.18129/B9.BIOC.CHAMP
ChemmineR,3.48.0,"R (>= 2.10.0), methods",Artistic-2.0,10.18129/B9.BIOC.CHEMMINER
ChIC,1.16.0,"spp, R (>= 3.6)",GPL-2,10.18129/B9.BIOC.CHIC
Chicago,1.24.0,"R (>= 3.3.1), data.table",Artistic-2.0,10.18129/B9.BIOC.CHICAGO
chimeraviz,1.22.0,"Biostrings, GenomicRanges, IRanges, Gviz, S4Vectors,
ensembldb, AnnotationFilter, data.table",Artistic-2.0,10.18129/B9.BIOC.CHIMERAVIZ
ChIPanalyser,1.18.0,"R (>= 3.5.0),GenomicRanges, Biostrings, BSgenome, RcppRoll,
parallel",GPL-3,10.18129/B9.BIOC.CHIPANALYSER
ChIPComp,1.26.0,"R (>=
3.2.0),GenomicRanges,IRanges,rtracklayer,GenomeInfoDb,S4Vectors",GPL,10.18129/B9.BIOC.CHIPCOMP
chipenrich,2.20.0,R (>= 3.4.0),GPL-3,10.18129/B9.BIOC.CHIPENRICH
ChIPexoQual,1.20.0,"R (>= 3.5.0), GenomicAlignments (>= 1.0.1)",GPL (>= 2),10.18129/B9.BIOC.CHIPEXOQUAL
ChIPpeakAnno,3.30.1,"R (>= 3.5), methods, IRanges (>= 2.13.12), GenomicRanges (>=
1.31.8), S4Vectors (>= 0.17.25)",GPL (>= 2),10.18129/B9.BIOC.CHIPPEAKANNO
ChIPQC,1.32.0,"R (>= 3.5.0), ggplot2, DiffBind, GenomicRanges (>= 1.17.19)",GPL (>= 3),10.18129/B9.BIOC.CHIPQC
ChIPseeker,1.32.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.CHIPSEEKER
chipseq,1.46.0,"R (>= 3.5.0), methods, BiocGenerics (>= 0.1.0), S4Vectors (>=
0.17.25), IRanges (>= 2.13.12), GenomicRanges (>= 1.31.8),
ShortRead",Artistic-2.0,10.18129/B9.BIOC.CHIPSEQ
ChIPseqR,1.50.0,"R (>= 2.10.0), methods, BiocGenerics, S4Vectors (>= 0.9.25)",GPL (>= 2),10.18129/B9.BIOC.CHIPSEQR
ChIPsim,1.50.0,Biostrings (>= 2.29.2),GPL (>= 2),10.18129/B9.BIOC.CHIPSIM
ChIPXpress,1.40.0,"R (>= 2.10), ChIPXpressData",GPL (>= 2),10.18129/B9.BIOC.CHIPXPRESS
chopsticks,1.62.0,NA,GPL-3,10.18129/B9.BIOC.CHOPSTICKS
chromDraw,2.26.0,R (>= 3.0.0),GPL-3,10.18129/B9.BIOC.CHROMDRAW
ChromHeatMap,1.50.0,"R (>= 2.9.0), BiocGenerics (>= 0.3.2), annotate (>= 1.20.0),
AnnotationDbi (>= 1.4.0)",Artistic-2.0,10.18129/B9.BIOC.CHROMHEATMAP
chromPlot,1.24.0,"stats, utils, graphics, grDevices, datasets, base, biomaRt,
GenomicRanges, R (>= 3.1.0)",GPL (>= 2),10.18129/B9.BIOC.CHROMPLOT
ChromSCape,1.6.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.CHROMSCAPE
chromstaR,1.22.0,"R (>= 3.5.0), GenomicRanges, ggplot2, chromstaRData",Artistic-2.0,10.18129/B9.BIOC.CHROMSTAR
chromswitch,1.18.0,"R (>= 3.5.0), GenomicRanges (>= 1.26.4)",MIT,10.18129/B9.BIOC.CHROMSWITCH
chromVAR,1.18.0,R (>= 3.5.0),MIT,10.18129/B9.BIOC.CHROMVAR
CHRONOS,1.24.1,R (>= 3.5),GPL-2,10.18129/B9.BIOC.CHRONOS
cicero,1.14.0,"R (>= 3.5.0), monocle, Gviz (>= 1.22.3)",MIT,10.18129/B9.BIOC.CICERO
CIMICE,1.4.0,NA,Artistic-2.0,10.18129/B9.BIOC.CIMICE
CINdex,1.24.0,"R (>= 3.3), GenomicRanges",GPL (>= 2),10.18129/B9.BIOC.CINDEX
circRNAprofiler,1.10.0,R(>= 4.1.0),GPL-3,10.18129/B9.BIOC.CIRCRNAPROFILER
cisPath,1.36.0,R (>= 2.10.0),GPL (>= 3),10.18129/B9.BIOC.CISPATH
CiteFuse,1.8.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.CITEFUSE
ClassifyR,3.0.3,"R (>= 4.1.0), methods, S4Vectors (>= 0.18.0),
MultiAssayExperiment (>= 1.6.0), BiocParallel, survival",GPL-3,10.18129/B9.BIOC.CLASSIFYR
cleanUpdTSeq,1.34.0,"R (>= 3.5.0), BSgenome.Drerio.UCSC.danRer7, methods",GPL-2,10.18129/B9.BIOC.CLEANUPDTSEQ
cleaver,1.34.0,"R (>= 3.0.0), methods, Biostrings (>= 1.29.8)",GPL (>= 3),10.18129/B9.BIOC.CLEAVER
clippda,1.46.0,"R (>= 2.13.1),limma, statmod, rgl, lattice, scatterplot3d,
graphics, grDevices, stats, utils, Biobase, tools, methods",GPL (>= 2),10.18129/B9.BIOC.CLIPPDA
clipper,1.36.0,"R (>= 2.15.0), Matrix, graph",AGPL-3,10.18129/B9.BIOC.CLIPPER
cliProfiler,1.2.0,"S4Vectors, methods, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.CLIPROFILER
cliqueMS,1.10.0,R (>= 3.6.0),GPL (>= 2),10.18129/B9.BIOC.CLIQUEMS
Clomial,1.32.0,"R (>= 2.10), matrixStats",GPL (>= 2),10.18129/B9.BIOC.CLOMIAL
Clonality,1.44.0,"R (>= 2.12.2), DNAcopy",GPL-3,10.18129/B9.BIOC.CLONALITY
clst,1.44.0,R (>= 2.10),GPL-3,10.18129/B9.BIOC.CLST
clstutils,1.44.0,"R (>= 2.10), clst, rjson, ape",GPL-3,10.18129/B9.BIOC.CLSTUTILS
CluMSID,1.12.0,R (>= 3.6),MIT,10.18129/B9.BIOC.CLUMSID
clustComp,1.24.0,R (>= 3.3),GPL (>= 2),10.18129/B9.BIOC.CLUSTCOMP
clusterExperiment,2.16.0,"R (>= 3.6.0), SingleCellExperiment, SummarizedExperiment (>=
1.15.4), BiocGenerics",Artistic-2.0,10.18129/B9.BIOC.CLUSTEREXPERIMENT
ClusterJudge,1.18.0,"R (>= 3.6), stats, utils, graphics, infotheo, lattice,
latticeExtra, httr, jsonlite",Artistic-2.0,10.18129/B9.BIOC.CLUSTERJUDGE
clusterProfiler,4.4.4,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.CLUSTERPROFILER
clusterSeq,1.20.0,"R (>= 3.0.0), methods, BiocParallel, baySeq, graphics, stats,
utils",GPL-3,10.18129/B9.BIOC.CLUSTERSEQ
ClusterSignificance,1.24.0,R (>= 3.3.0),GPL-3,10.18129/B9.BIOC.CLUSTERSIGNIFICANCE
clusterStab,1.68.0,"Biobase (>= 1.4.22), R (>= 1.9.0), methods",Artistic-2.0,10.18129/B9.BIOC.CLUSTERSTAB
clustifyr,1.8.0,R (>= 4.0),MIT,10.18129/B9.BIOC.CLUSTIFYR
CMA,1.54.0,"R (>= 2.10), methods, stats, Biobase",GPL (>= 2),10.18129/B9.BIOC.CMA
cn.farms,1.44.0,"R (>= 3.0), Biobase, methods, ff, oligoClasses, snow",LGPL (>= 2.0),10.18129/B9.BIOC.CN.FARMS
cn.mops,1.42.0,"R (>= 3.5.0), methods, utils, stats, graphics, parallel,
GenomicRanges",LGPL (>= 2.0),10.18129/B9.BIOC.CN.MOPS
CNAnorm,1.42.0,"R (>= 2.10.1), methods",GPL-2,10.18129/B9.BIOC.CNANORM
CNEr,1.32.0,R (>= 3.5.0),GPL-2,10.18129/B9.BIOC.CNER
CNORdt,1.38.0,"R (>= 1.8.0), CellNOptR (>= 0.99), abind",GPL-2,10.18129/B9.BIOC.CNORDT
CNORfeeder,1.36.1,"R (>= 3.6.0), CellNOptR (>= 1.4.0), graph",GPL-3,10.18129/B9.BIOC.CNORFEEDER
CNORfuzzy,1.38.0,"R (>= 2.15.0), CellNOptR (>= 1.4.0), nloptr (>= 0.8.5)",GPL-2,10.18129/B9.BIOC.CNORFUZZY
CNORode,1.38.0,"CellNOptR, genalg, knitr",GPL-2,10.18129/B9.BIOC.CNORODE
CNTools,1.52.0,"R (>= 2.10), methods, tools, stats, genefilter",LGPL,10.18129/B9.BIOC.CNTOOLS
CNVfilteR,1.10.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.CNVFILTER
CNVgears,1.4.0,"R (>= 4.1), data.table",GPL-3,10.18129/B9.BIOC.CNVGEARS
cnvGSA,1.40.0,"brglm, doParallel, foreach, GenomicRanges, methods,
splitstackshape",LGPL,10.18129/B9.BIOC.CNVGSA
CNViz,1.4.0,"R (>= 4.0), shiny (>= 1.5.0)",Artistic-2.0,10.18129/B9.BIOC.CNVIZ
CNVMetrics,1.0.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.CNVMETRICS
CNVPanelizer,1.28.0,"R (>= 3.2.0), GenomicRanges",GPL-3,10.18129/B9.BIOC.CNVPANELIZER
CNVRanger,1.12.0,"GenomicRanges, RaggedExperiment",Artistic-2.0,10.18129/B9.BIOC.CNVRANGER
CNVrd2,1.34.0,"R (>= 3.0.0), methods, VariantAnnotation, parallel, rjags,
ggplot2, gridExtra",GPL-2,10.18129/B9.BIOC.CNVRD2
CoCiteStats,1.68.0,"R (>= 2.0), org.Hs.eg.db",CPL,10.18129/B9.BIOC.COCITESTATS
COCOA,2.10.0,"R (>= 3.5), GenomicRanges",GPL-3,10.18129/B9.BIOC.COCOA
codelink,1.64.0,"R (>= 2.10), BiocGenerics (>= 0.3.2), methods, Biobase (>=
2.17.8), limma",GPL-2,10.18129/B9.BIOC.CODELINK
CODEX,1.28.0,"R (>= 3.2.3), Rsamtools, GenomeInfoDb,
BSgenome.Hsapiens.UCSC.hg19, IRanges, Biostrings, S4Vectors",GPL-2,10.18129/B9.BIOC.CODEX
CoGAPS,3.16.0,R (>= 3.5.0),BSD_3_clause,10.18129/B9.BIOC.COGAPS
cogena,1.30.0,"R (>= 3.6), cluster, ggplot2, kohonen",LGPL-3,10.18129/B9.BIOC.COGENA
cogeqc,1.0.0,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.COGEQC
Cogito,1.2.0,"R (>= 4.1), GenomicRanges, jsonlite, GenomicFeatures, entropy",LGPL-3,10.18129/B9.BIOC.COGITO
coGPS,1.40.0,R (>= 2.13.0),GPL-2,10.18129/B9.BIOC.COGPS
COHCAP,1.42.0,"WriteXLS, COHCAPanno, RColorBrewer, gplots",GPL-3,10.18129/B9.BIOC.COHCAP
cola,2.2.0,R (>= 3.6.0),MIT,10.18129/B9.BIOC.COLA
comapr,1.0.0,R (>= 4.1.0),MIT,10.18129/B9.BIOC.COMAPR
combi,1.8.0,"R (>= 4.0), DBI",GPL-2,10.18129/B9.BIOC.COMBI
coMET,1.28.0,"R (>= 4.0.0), grid, utils, biomaRt, Gviz, psych",GPL (>= 2),10.18129/B9.BIOC.COMET
coMethDMR,1.0.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.COMETHDMR
compartmap,1.14.0,"R (>= 4.1.0), SummarizedExperiment, RaggedExperiment,
BiocSingular, HDF5Array",GPL-3,10.18129/B9.BIOC.COMPARTMAP
COMPASS,1.34.0,R (>= 3.0.3),Artistic-2.0,10.18129/B9.BIOC.COMPASS
compcodeR,1.32.0,"R (>= 4.0), sm",GPL (>= 2),10.18129/B9.BIOC.COMPCODER
compEpiTools,1.30.0,"R (>= 3.5.0), methods, topGO, GenomicRanges",GPL,10.18129/B9.BIOC.COMPEPITOOLS
ComplexHeatmap,2.12.0,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices",MIT,10.18129/B9.BIOC.COMPLEXHEATMAP
CompoundDb,1.0.1,"R (>= 4.1), methods, AnnotationFilter, S4Vectors",Artistic-2.0,10.18129/B9.BIOC.COMPOUNDDB
ComPrAn,1.4.0,NA,MIT,10.18129/B9.BIOC.COMPRAN
conclus,1.3.3,R (>= 4.2),GPL-3,10.18129/B9.BIOC.CONCLUS
condiments,1.4.0,R (>= 4.0),MIT,10.18129/B9.BIOC.CONDIMENTS
CONFESS,1.24.0,"R (>= 3.3),grDevices,utils,stats,graphics",GPL-2,10.18129/B9.BIOC.CONFESS
consensus,1.14.0,"R (>= 3.5), RColorBrewer",BSD_3_clause,10.18129/B9.BIOC.CONSENSUS
ConsensusClusterPlus,1.60.0,NA,GPL-2,10.18129/B9.BIOC.CONSENSUSCLUSTERPLUS
consensusDE,1.14.0,"R (>= 3.5), BiocGenerics",GPL-3,10.18129/B9.BIOC.CONSENSUSDE
consensusOV,1.18.0,R (>= 3.6),Artistic-2.0,10.18129/B9.BIOC.CONSENSUSOV
consensusSeekeR,1.24.0,"R (>= 3.5.0), BiocGenerics, IRanges, GenomicRanges,
BiocParallel",Artistic-2.0,10.18129/B9.BIOC.CONSENSUSSEEKER
contiBAIT,1.24.0,"R (>= 3.5.0), BH (>= 1.51.0.3), Rsamtools (>= 1.21)",BSD_2_clause,10.18129/B9.BIOC.CONTIBAIT
conumee,1.30.0,"R (>= 3.5.0), minfi,
IlluminaHumanMethylation450kanno.ilmn12.hg19,
IlluminaHumanMethylation450kmanifest,
IlluminaHumanMethylationEPICanno.ilm10b2.hg19,
IlluminaHumanMethylationEPICmanifest",GPL (>= 2),10.18129/B9.BIOC.CONUMEE
convert,1.72.0,"R (>= 2.6.0), Biobase (>= 1.15.33), limma (>= 1.7.0), marray,
utils, methods",LGPL,10.18129/B9.BIOC.CONVERT
copa,1.64.0,"Biobase, methods",Artistic-2.0,10.18129/B9.BIOC.COPA
copynumber,1.36.0,"R (>= 2.10), BiocGenerics",Artistic-2.0,10.18129/B9.BIOC.COPYNUMBER
CopyNumberPlots,1.12.0,"R (>= 3.6), karyoploteR",Artistic-2.0,10.18129/B9.BIOC.COPYNUMBERPLOTS
CopywriteR,2.28.0,"R(>= 3.2), BiocParallel",GPL-2,10.18129/B9.BIOC.COPYWRITER
coRdon,1.14.0,R (>= 3.5),Artistic-2.0,10.18129/B9.BIOC.CORDON
CoRegNet,1.34.0,"R (>= 2.14), igraph, shiny, arules, methods",GPL-3,10.18129/B9.BIOC.COREGNET
CoreGx,2.0.2,"R (>= 4.1), BiocGenerics, SummarizedExperiment",GPL-3,10.18129/B9.BIOC.COREGX
Cormotif,1.42.0,"R (>= 2.12.0), affy, limma",GPL-2,10.18129/B9.BIOC.CORMOTIF
corral,1.6.0,NA,GPL-2,10.18129/B9.BIOC.CORRAL
CORREP,1.62.0,NA,GPL (>= 2),10.18129/B9.BIOC.CORREP
coseq,1.20.0,"R (>= 4.0.0), SummarizedExperiment, S4Vectors",GPL-3,10.18129/B9.BIOC.COSEQ
cosmiq,1.30.0,"R (>= 3.6), Rcpp",GPL-3,10.18129/B9.BIOC.COSMIQ
cosmosR,1.4.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.COSMOSR
COSNet,1.30.0,NA,GPL (>= 2),10.18129/B9.BIOC.COSNET
COTAN,1.0.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.COTAN
countsimQC,1.14.0,R (>= 3.5),GPL (>= 2),10.18129/B9.BIOC.COUNTSIMQC
covEB,1.22.0,"R (>= 3.3), mvtnorm, igraph, gsl, Biobase, stats,
LaplacesDemon, Matrix",GPL-3,10.18129/B9.BIOC.COVEB
CoverageView,1.34.0,"R (>= 2.10), methods, Rsamtools (>= 1.19.17), rtracklayer",Artistic-2.0,10.18129/B9.BIOC.COVERAGEVIEW
covRNA,1.22.0,"ade4, Biobase",GPL (>= 2),10.18129/B9.BIOC.COVRNA
cpvSNP,1.28.0,"R (>= 3.5.0), GenomicFeatures, GSEABase (>= 1.24.0)",Artistic-2.0,10.18129/B9.BIOC.CPVSNP
cqn,1.42.0,"R (>= 2.10.0), mclust, nor1mix, stats, preprocessCore,
splines, quantreg",Artistic-2.0,10.18129/B9.BIOC.CQN
CRImage,1.44.0,"EBImage, DNAcopy, aCGH",Artistic-2.0,10.18129/B9.BIOC.CRIMAGE
crisprBase,1.0.0,"utils, methods, R (>= 4.1)",MIT,10.18129/B9.BIOC.CRISPRBASE
crisprBowtie,1.0.0,methods,MIT,10.18129/B9.BIOC.CRISPRBOWTIE
crisprBwa,1.0.0,methods,MIT,10.18129/B9.BIOC.CRISPRBWA
crisprScore,1.0.0,"R (>= 4.1), crisprScoreData",MIT,10.18129/B9.BIOC.CRISPRSCORE
CRISPRseek,1.36.0,"R (>= 3.5.0), BiocGenerics, Biostrings",GPL (>= 2),10.18129/B9.BIOC.CRISPRSEEK
crisprseekplus,1.22.0,"R (>= 3.3.0), shiny, shinyjs, CRISPRseek",GPL-3,10.18129/B9.BIOC.CRISPRSEEKPLUS
CrispRVariants,1.24.0,"R (>= 3.5), ggplot2 (>= 2.2.0)",GPL-2,10.18129/B9.BIOC.CRISPRVARIANTS
crlmm,1.54.0,"R (>= 2.14.0), oligoClasses (>= 1.21.12), preprocessCore (>=
1.17.7)",Artistic-2.0,10.18129/B9.BIOC.CRLMM
crossmeta,1.22.1,R (>= 4.0),MIT,10.18129/B9.BIOC.CROSSMETA
CSAR,1.48.0,"R (>= 2.15.0), S4Vectors, IRanges, GenomeInfoDb, GenomicRanges",Artistic-2.0,10.18129/B9.BIOC.CSAR
csaw,1.30.1,"R (>= 3.5.0), GenomicRanges, SummarizedExperiment",GPL-3,10.18129/B9.BIOC.CSAW
csdR,1.2.0,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.CSDR
CSSP,1.34.0,NA,GPL-2,10.18129/B9.BIOC.CSSP
CSSQ,1.8.0,"SummarizedExperiment, GenomicRanges, IRanges, S4Vectors,
rtracklayer",Artistic-2.0,10.18129/B9.BIOC.CSSQ
ctc,1.70.0,amap,GPL-2,10.18129/B9.BIOC.CTC
CTDquerier,2.3.1,R (>= 4.1),MIT,10.18129/B9.BIOC.CTDQUERIER
ctgGEM,1.7.0,"monocle, SummarizedExperiment,",GPL (>= 2),10.18129/B9.BIOC.CTGGEM
cTRAP,1.14.1,R (>= 4.0),MIT,10.18129/B9.BIOC.CTRAP
ctsGE,1.22.0,R (>= 3.2),GPL-2,10.18129/B9.BIOC.CTSGE
cummeRbund,2.38.0,"R (>= 2.7.0), BiocGenerics (>= 0.3.2), RSQLite, ggplot2,
reshape2, fastcluster, rtracklayer, Gviz",Artistic-2.0,10.18129/B9.BIOC.CUMMERBUND
customCMPdb,1.6.0,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.CUSTOMCMPDB
customProDB,1.36.0,"R (>= 3.5.0), IRanges, AnnotationDbi, biomaRt (>= 2.17.1)",Artistic-2.0,10.18129/B9.BIOC.CUSTOMPRODB
cyanoFilter,1.4.0,R(>= 4.1.0),MIT,10.18129/B9.BIOC.CYANOFILTER
cycle,1.50.0,"R (>= 2.10.0), Mfuzz",GPL-2,10.18129/B9.BIOC.CYCLE
cydar,1.20.0,SingleCellExperiment,GPL-3,10.18129/B9.BIOC.CYDAR
CytoDx,1.16.0,R (>= 3.5),GPL-2,10.18129/B9.BIOC.CYTODX
CyTOFpower,1.2.0,R (>= 4.1),LGPL-3,10.18129/B9.BIOC.CYTOFPOWER
CytoGLMM,1.4.0,NA,LGPL-3,10.18129/B9.BIOC.CYTOGLMM
cytoKernel,1.2.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.CYTOKERNEL
cytomapper,1.8.0,"R (>= 4.0), EBImage, SingleCellExperiment, methods",GPL (>= 2),10.18129/B9.BIOC.CYTOMAPPER
cytoMEM,1.0.0,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.CYTOMEM
CytoTree,1.6.0,"R (>= 4.0), igraph",GPL-3,10.18129/B9.BIOC.CYTOTREE
dada2,1.24.0,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods (>= 3.4.0)",LGPL-2,10.18129/B9.BIOC.DADA2
