Package,Version,Depends,License,DOI,QID,Descr_lang,Descr,License_DOI
DepecheR,1.12.2000,R (>= 4.0),MIT,10.18129/B9.BIOC.DEPECHER,,,,Q49108
DepInfeR,1.0.0,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.DEPINFER,,,,Q63034458
DEqMS,1.14.0,"R(>= 3.5),graphics,stats,ggplot2,matrixStats,limma(>= 3.34)",LGPL,10.18129/B9.BIOC.DEQMS,Q90604309,en,scientific article published on 23 March 2020,Q192897
derfinder,1.30.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.DERFINDER,,,,Q14624826
derfinderHelper,1.30.0,R(>= 3.2.2),Artistic-2.0,10.18129/B9.BIOC.DERFINDERHELPER,,,,Q14624826
derfinderPlot,1.30.0,R(>= 3.2),Artistic-2.0,10.18129/B9.BIOC.DERFINDERPLOT,,,,Q14624826
DEScan2,1.16.0,"R (>= 3.5), GenomicRanges",Artistic-2.0,10.18129/B9.BIOC.DESCAN2,,,,Q14624826
DESeq2,1.36.0,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)",LGPL (>= 3),10.18129/B9.BIOC.DESEQ2,Q113018293,en,R package,Q27016762
DEsingle,1.16.0,R (>= 3.4.0),GPL-2,10.18129/B9.BIOC.DESINGLE,Q52717092,en,scientific article published on 24 April 2018,Q63002579
destiny,3.10.2000,R (>= 3.4.0),GPL-3,10.18129/B9.BIOC.DESTINY,Q216774,en,predetermined course of events,Q63034458
DEsubs,1.22.0,"R (>= 3.3), locfit",GPL-3,10.18129/B9.BIOC.DESUBS,Q39472416,en,scientific article published on 19 August 2016,Q63034458
DEWSeq,1.10.2000,"R(>= 4.0.0), R.utils, DESeq2, BiocParallel",LGPL (>= 3),10.18129/B9.BIOC.DEWSEQ,,,,Q27016762
DExMA,1.4.2003,"R (>= 4.1), DExMAdata",GPL-2,10.18129/B9.BIOC.DEXMA,Q64141459,en,"company in Houston, United States",Q63002579
DEXSeq,1.42.0,"BiocParallel, Biobase, SummarizedExperiment, IRanges (>=
2.5.17), GenomicRanges (>= 1.23.7), DESeq2 (>= 1.9.11),
AnnotationDbi, RColorBrewer, S4Vectors (>= 0.23.18)",GPL (>= 3),10.18129/B9.BIOC.DEXSEQ,,,,Q27016754
DFP,1.54.0,"methods, Biobase (>= 2.5.5)",GPL-2,10.18129/B9.BIOC.DFP,Q384993,en,chemical compound,Q63002579
DIAlignR,2.4.2000,"methods, stats, R (>= 4.0)",GPL-3,10.18129/B9.BIOC.DIALIGNR,Q63493258,en,scientific article published on 31 January 2019,Q63034458
DiffBind,3.6.2001,"R (>= 4.0), GenomicRanges, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.DIFFBIND,,,,Q14624826
diffcoexp,1.16.0,"R (>= 3.5), WGCNA, SummarizedExperiment",GPL (>= 2),10.18129/B9.BIOC.DIFFCOEXP,,,,Q27016752
diffcyt,1.16.0,R (>= 3.4.0),MIT,10.18129/B9.BIOC.DIFFCYT,Q64055897,en,scientific article published on 14 May 2019,Q49108
DifferentialRegulation,1.0.7,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.DIFFERENTIALREGULATION,,,,Q63034458
diffGeneAnalysis,1.78.0,NA,GPL,10.18129/B9.BIOC.DIFFGENEANALYSIS,,,,Q7603
diffHic,1.28.0,"R (>= 3.5), GenomicRanges, InteractionSet,
SummarizedExperiment",GPL-3,10.18129/B9.BIOC.DIFFHIC,Q35748418,en,scientific article published on 19 August 2015,Q63034458
DiffLogo,2.20.0,"R (>= 3.4), stats, cba",GPL (>= 2),10.18129/B9.BIOC.DIFFLOGO,Q30315961,en,scientific article,Q27016752
diffloop,1.24.0,R (>= 3.5.0),MIT,10.18129/B9.BIOC.DIFFLOOP,Q45304876,en,scientific article,Q49108
diffuStats,1.16.0,R (>= 3.4),GPL-3,10.18129/B9.BIOC.DIFFUSTATS,,,,Q63034458
diffUTR,1.4.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.DIFFUTR,,,,Q63034458
Dino,1.2.2000,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.DINO,Q430,en,clade of sauropsid vertebrates that dominated the Mesozoic Era (including birds),Q63034458
dir.expiry,1.4.2000,NA,GPL-3,10.18129/B9.BIOC.DIR.EXPIRY,,,,Q63034458
Director,1.22.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.DIRECTOR,Q2526255,en,person who directs a film,Q63034458
DirichletMultinomial,1.38.0,"S4Vectors, IRanges",LGPL-3,10.18129/B9.BIOC.DIRICHLETMULTINOMIAL,,,,Q18534393
discordant,1.20.0,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.DISCORDANT,Q16874829,en,Wiktionary redirect,Q63034458
DiscoRhythm,1.12.2000,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.DISCORHYTHM,Q91187936,en,scientific article published on 08 November 2019,Q63034458
distinct,1.8.2000,R (>= 4.0),GPL (>= 3),10.18129/B9.BIOC.DISTINCT,Q16738026,en,cleavage quality,Q27016754
dittoSeq,1.8.2001,ggplot2,MIT,10.18129/B9.BIOC.DITTOSEQ,Q104464799,en,scientific article published on 12 December 2020,Q49108
divergence,1.12.2000,"R (>= 3.6), SummarizedExperiment",GPL-2,10.18129/B9.BIOC.DIVERGENCE,Q189000,en,vector differential operator measuring the source or sink at a given point,Q63002579
dks,1.42.0,R (>= 2.8),GPL,10.18129/B9.BIOC.DKS,Q658326,en,airport,Q7603
DMCFB,1.10.2000,"R (>= 4.0.0), SummarizedExperiment, methods, S4Vectors,
BiocParallel, GenomicRanges, IRanges",GPL-3,10.18129/B9.BIOC.DMCFB,,,,Q63034458
DMCHMM,1.18.0,"R (>= 4.1.0), SummarizedExperiment, methods, S4Vectors,
BiocParallel, GenomicRanges, IRanges, fdrtool",GPL-3,10.18129/B9.BIOC.DMCHMM,,,,Q63034458
DMRcaller,1.28.0,"R (>= 3.5), GenomicRanges, IRanges, S4Vectors (>= 0.23.10)",GPL-3,10.18129/B9.BIOC.DMRCALLER,Q64924659,en,scientific article published in November 2018,Q63034458
DMRforPairs,1.32.0,"R (>= 2.15.2), Gviz (>= 1.2.1), R2HTML (>= 2.2.1),
GenomicRanges (>= 1.10.7), parallel",GPL (>= 2),10.18129/B9.BIOC.DMRFORPAIRS,Q33712970,en,scientific article,Q27016752
DMRScan,1.18.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.DMRSCAN,,,,Q63034458
dmrseq,1.16.0,"R (>= 3.5), bsseq",MIT,10.18129/B9.BIOC.DMRSEQ,,,,Q49108
DNABarcodes,1.26.0,"Matrix, parallel",GPL-2,10.18129/B9.BIOC.DNABARCODES,Q39040179,en,scientific article published on 4 January 2017,Q63002579
DNAcopy,1.70.0,NA,GPL (>= 2),10.18129/B9.BIOC.DNACOPY,,,,Q27016752
DNAshapeR,1.24.0,"R (>= 3.4), GenomicRanges",GPL-2,10.18129/B9.BIOC.DNASHAPER,Q39951426,en,scientific article,Q63002579
DominoEffect,1.16.0,R(>= 3.5),GPL (>= 3),10.18129/B9.BIOC.DOMINOEFFECT,,,,Q27016754
doppelgangR,1.24.0,"R (>= 3.5.0), Biobase, BiocParallel",GPL (>= 2.0),10.18129/B9.BIOC.DOPPELGANGR,,,,"
Q27016752"
Doscheda,1.18.0,R (>= 3.4),GPL-3,10.18129/B9.BIOC.DOSCHEDA,Q110950402,en,scientific article,Q63034458
DOSE,3.22.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.DOSE,Q473420,en,"quantity of something (chemical, physical, or biological) that may impact an organism biologically",Q14624826
doseR,1.12.2000,R (>= 3.6),GPL,10.18129/B9.BIOC.DOSER,Q37543208,en,family name,Q7603
dpeak,1.8.2000,"R (>= 4.0.0), methods, stats, utils, graphics, Rcpp",GPL (>= 2),10.18129/B9.BIOC.DPEAK,Q30681790,en,scientific article,Q27016752
drawProteins,1.16.0,R (>= 4.0),MIT,10.18129/B9.BIOC.DRAWPROTEINS,Q91419720,en,scientific article published on 18 July 2018,Q49108
DRIMSeq,1.24.0,R (>= 3.4.0),GPL (>= 3),10.18129/B9.BIOC.DRIMSEQ,Q34549718,en,scientific article,Q27016754
DriverNet,1.36.0,"R (>= 2.10), methods",GPL-3,10.18129/B9.BIOC.DRIVERNET,Q40666342,en,scientific article published on 22 December 2012,Q63034458
DropletUtils,1.16.0,SingleCellExperiment,GPL-3,10.18129/B9.BIOC.DROPLETUTILS,,,,Q63034458
drugTargetInteractions,1.4.2000,"methods, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.DRUGTARGETINTERACTIONS,,,,Q14624826
DrugVsDisease,2.38.0,"R (>= 2.10), affy, limma, biomaRt, ArrayExpress, GEOquery,
DrugVsDiseasedata, cMap2data, qvalue",GPL-3,10.18129/B9.BIOC.DRUGVSDISEASE,,,,Q63034458
DSS,2.44.0,"R (>= 3.5.0), methods, Biobase, BiocParallel, bsseq, parallel",GPL,10.18129/B9.BIOC.DSS,Q642074,en,encyclopedia on the history of Switzerland,Q7603
dStruct,1.2.2000,R (>= 4.1),GPL (>= 2),10.18129/B9.BIOC.DSTRUCT,Q64119395,en,scientific article published on 21 February 2019,Q27016752
DTA,2.42.0,"R (>= 2.10), LSD",Artistic-2.0,10.18129/B9.BIOC.DTA,Q1050518,en,flag-carrier airline of Angola,Q14624826
Dune,1.8.2000,R (>= 3.6),MIT,10.18129/B9.BIOC.DUNE,Q25391,en,"landform, hill of sand",Q49108
dupRadar,1.26.1,R (>= 3.2.0),GPL-3,10.18129/B9.BIOC.DUPRADAR,Q31138311,en,scientific article,Q63034458
dyebias,1.56.0,"R (>= 1.4.1), marray, Biobase",GPL-3,10.18129/B9.BIOC.DYEBIAS,,,,Q63034458
DynDoc,1.74.0,"methods, utils",Artistic-2.0,10.18129/B9.BIOC.DYNDOC,,,,Q14624826
easier,1.2.2000,R (>= 4.1.0),MIT,10.18129/B9.BIOC.EASIER,Q64022950,en,2019 single by 5 Seconds of Summer,Q49108
easyreporting,1.8.2000,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.EASYREPORTING,Q111933956,en,scientific article published on 10 May 2021,Q14624826
easyRNASeq,2.32.0,NA,Artistic-2.0,10.18129/B9.BIOC.EASYRNASEQ,Q34357558,en,scientific article,Q14624826
EBarrays,2.60.0,"R (>= 1.8.0), Biobase, lattice, methods",GPL (>= 2),10.18129/B9.BIOC.EBARRAYS,,,,Q27016752
EBcoexpress,1.40.0,"EBarrays, mclust, minqa",GPL (>= 2),10.18129/B9.BIOC.EBCOEXPRESS,,,,Q27016752
EBImage,4.38.0,methods,LGPL,10.18129/B9.BIOC.EBIMAGE,Q39783161,en,scientific article published on April 2010,Q192897
EBSEA,1.24.0,R (>= 4.0.0),GPL-2,10.18129/B9.BIOC.EBSEA,,,,Q63002579
EBSeq,1.36.0,"blockmodeling, gplots, testthat, R (>= 3.0.0)",Artistic-2.0,10.18129/B9.BIOC.EBSEQ,Q39190922,en,scientific article published on 21 February 2013,Q14624826
EBSeqHMM,1.30.0,EBSeq,Artistic-2.0,10.18129/B9.BIOC.EBSEQHMM,,,,Q14624826
ecolitk,1.68.0,R (>= 2.10),GPL (>= 2),10.18129/B9.BIOC.ECOLITK,,,,Q27016752
EDASeq,2.30.0,"Biobase (>= 2.15.1), ShortRead (>= 1.11.42)",Artistic-2.0,10.18129/B9.BIOC.EDASEQ,,,,Q14624826
edge,2.28.0,"R(>= 3.1.0), Biobase",MIT,10.18129/B9.BIOC.EDGE,Q133346,en,legal boundary between two geographic regions,Q49108
edgeR,3.38.1,"R (>= 3.6.0), limma (>= 3.41.5)",GPL (>= 2),10.18129/B9.BIOC.EDGER,Q1723984,en,tool used to trim the edges of a lawn.,Q27016752
eegc,1.22.0,R (>= 3.4.0),GPL-2,10.18129/B9.BIOC.EEGC,,,,Q63002579
EGAD,1.24.0,R(>= 3.5),GPL-2,10.18129/B9.BIOC.EGAD,Q301121,en,"general aviation airport in County Down, Northern Ireland, UK",Q63002579
EGSEA,1.24.0,"R (>= 3.5), Biobase, gage (>= 2.14.4), AnnotationDbi, topGO
(>= 2.16.0), pathview (>= 1.4.2)",GPL-3,10.18129/B9.BIOC.EGSEA,,,,Q63034458
eiR,1.36.0,"R (>= 2.10.0), ChemmineR (>= 2.15.15), methods, DBI",Artistic-2.0,10.18129/B9.BIOC.EIR,Q427355,en,Norse deity,Q14624826
eisaR,1.8.2000,R (>= 4.1),GPL-3,10.18129/B9.BIOC.EISAR,Q671828,en,"building in Salzburg, Austria",Q63034458
ELMER,2.20.0,"R (>= 3.4.0), ELMER.data (>= 2.9.3)",GPL-3,10.18129/B9.BIOC.ELMER,Q1105726,en,American botanist (1870-1942),Q63034458
EMDomics,2.26.0,R (>= 3.2.1),MIT,10.18129/B9.BIOC.EMDOMICS,Q36551085,en,scientific article published on 29 October 2015,Q49108
EmpiricalBrownsMethod,1.24.0,R (>= 3.2.0),MIT,10.18129/B9.BIOC.EMPIRICALBROWNSMETHOD,,,,Q49108
EnhancedVolcano,1.14.0,"ggplot2, ggrepel",GPL-3,10.18129/B9.BIOC.ENHANCEDVOLCANO,,,,Q63034458
enhancerHomologSearch,1.2.2000,"R (>= 4.1.0), methods",GPL (>= 2),10.18129/B9.BIOC.ENHANCERHOMOLOGSEARCH,,,,Q27016752
EnMCB,1.8.2002,R (>= 4.0),GPL-2,10.18129/B9.BIOC.ENMCB,,,,Q63002579
ENmix,1.32.0,"R (>= 3.5.0), parallel, doParallel, foreach,
SummarizedExperiment, stats",Artistic-2.0,10.18129/B9.BIOC.ENMIX,Q36588960,en,scientific article published on 17 September 2015,Q14624826
EnrichedHeatmap,1.26.0,"R (>= 3.6.0), methods, grid, ComplexHeatmap (>= 2.11.0),
GenomicRanges",MIT,10.18129/B9.BIOC.ENRICHEDHEATMAP,Q55098509,en,scientific article published on 4 April 2018,Q49108
EnrichmentBrowser,2.26.0,"SummarizedExperiment, graph",Artistic-2.0,10.18129/B9.BIOC.ENRICHMENTBROWSER,,,,Q14624826
enrichplot,1.16.1,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.ENRICHPLOT,,,,Q14624826
enrichTF,1.12.2000,pipeFrame,GPL-3,10.18129/B9.BIOC.ENRICHTF,,,,Q63034458
ensembldb,2.20.2,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.31.18), GenomicFeatures (>= 1.29.10), AnnotationFilter (>=
1.5.2)",LGPL,10.18129/B9.BIOC.ENSEMBLDB,Q91250541,en,scientific article published on 01 September 2019,Q192897
ensemblVEP,1.38.0,"methods, BiocGenerics, GenomicRanges, VariantAnnotation",Artistic-2.0,10.18129/B9.BIOC.ENSEMBLVEP,,,,Q14624826
epialleleR,1.4.2000,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.EPIALLELER,,,,Q14624826
EpiCompare,1.0.0,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.EPICOMPARE,Q38729842,en,scientific article published on 09 June 2017,Q63034458
epidecodeR,1.4.2000,R (>= 3.1.0),GPL-3,10.18129/B9.BIOC.EPIDECODER,,,,Q63034458
EpiDISH,2.12.2000,R (>= 4.1),GPL-2,10.18129/B9.BIOC.EPIDISH,Q91226397,en,scientific article published on 09 November 2019,Q63002579
epigenomix,1.36.0,"R (>= 3.5.0), methods, Biobase, S4Vectors, IRanges,
GenomicRanges, SummarizedExperiment",LGPL-3,10.18129/B9.BIOC.EPIGENOMIX,,,,Q18534393
epigraHMM,1.4.2000,R (>= 3.5.0),MIT,10.18129/B9.BIOC.EPIGRAHMM,,,,Q49108
epihet,1.12.2000,"R(>= 3.6), GenomicRanges, IRanges, S4Vectors, ggplot2,
foreach, Rtsne, igraph",Artistic-2.0,10.18129/B9.BIOC.EPIHET,Q27277026,en,chemical compound,Q14624826
epimutacions,1.0.3,"R (>= 4.2.0), epimutacionsData",MIT,10.18129/B9.BIOC.EPIMUTACIONS,,,,Q49108
epiNEM,1.20.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.EPINEM,Q21583228,en,genus of brown algae,Q63034458
epistack,1.2.2000,R (>= 4.1),MIT,10.18129/B9.BIOC.EPISTACK,,,,Q49108
EpiTxDb,1.8.2000,"R (>= 4.0), AnnotationDbi, Modstrings",Artistic-2.0,10.18129/B9.BIOC.EPITXDB,,,,Q14624826
epivizr,2.26.0,"R (>= 3.5.0), methods",Artistic-2.0,10.18129/B9.BIOC.EPIVIZR,,,,Q14624826
epivizrChart,1.18.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.EPIVIZRCHART,,,,Q14624826
epivizrData,1.24.0,"R (>= 3.4), methods, epivizrServer (>= 1.1.1), Biobase",MIT,10.18129/B9.BIOC.EPIVIZRDATA,,,,Q49108
epivizrServer,1.24.0,"R (>= 3.2.3), methods",MIT,10.18129/B9.BIOC.EPIVIZRSERVER,,,,Q49108
epivizrStandalone,1.24.0,"R (>= 3.2.3), epivizr (>= 2.3.6), methods",MIT,10.18129/B9.BIOC.EPIVIZRSTANDALONE,,,,Q49108
erccdashboard,1.30.0,"R (>= 3.2), ggplot2 (>= 2.1.0), gridExtra (>= 2.0.0)",GPL (>= 2),10.18129/B9.BIOC.ERCCDASHBOARD,,,,Q27016752
erma,1.12.2000,"R (>= 3.1), methods, Homo.sapiens, GenomicFiles (>= 1.5.2)",Artistic-2.0,10.18129/B9.BIOC.ERMA,Q1089228,en,"census designated place in Cape May County, New Jersey, United States",Q14624826
ERSSA,1.14.0,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.ERSSA,Q24831530,en,mountain in Greenland,Q63034458
esATAC,1.18.0,"R (>= 4.0.0), Rsamtools, GenomicRanges, ShortRead, pipeFrame",GPL-3,10.18129/B9.BIOC.ESATAC,Q53838686,en,scientific article,Q63034458
escape,1.6.2000,R (>= 4.1),GPL-2,10.18129/B9.BIOC.ESCAPE,Q598041,en,act of one or more inmates leaving prison through unofficial or illegal ways,Q63002579
esetVis,1.22.0,NA,GPL-3,10.18129/B9.BIOC.ESETVIS,,,,Q63034458
eudysbiome,1.26.0,R (>= 3.1.0),GPL-2,10.18129/B9.BIOC.EUDYSBIOME,,,,Q63002579
evaluomeR,1.12.2000,"R (>= 3.6), SummarizedExperiment, MultiAssayExperiment,
cluster (>= 2.0.9), fpc (>= 2.2-3), randomForest (>= 4.6.14),
flexmix (>= 2.3.15)",GPL-3,10.18129/B9.BIOC.EVALUOMER,,,,Q63034458
EventPointer,3.4.2001,"R (>= 3.5.0), SGSeq, Matrix, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.EVENTPOINTER,Q36055662,en,scientific article,Q14624826
EWCE,1.4.2000,"R (>= 4.1), RNOmni (>= 1.0)",GPL-3,10.18129/B9.BIOC.EWCE,,,,Q63034458
ExCluster,1.14.0,"Rsubread, GenomicRanges, rtracklayer, matrixStats, IRanges",GPL-3,10.18129/B9.BIOC.EXCLUSTER,,,,Q63034458
ExiMiR,2.38.0,"R (>= 2.10), Biobase (>= 2.5.5), affy (>= 1.26.1), limma",GPL-2,10.18129/B9.BIOC.EXIMIR,Q8846993,en,Wikimedia disambiguation page,Q63002579
exomeCopy,1.42.0,"R (>= 3.5.0), IRanges (>= 2.5.27), GenomicRanges (>= 1.23.16),
Rsamtools",GPL (>= 2),10.18129/B9.BIOC.EXOMECOPY,,,,Q27016752
exomePeak2,1.8.2001,"R (>= 3.5.0), SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.EXOMEPEAK2,,,,Q14624826
ExperimentHub,2.4.2000,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)",Artistic-2.0,10.18129/B9.BIOC.EXPERIMENTHUB,,,,Q14624826
ExperimentHubData,1.22.0,"utils, BiocGenerics (>= 0.15.10), S4Vectors, AnnotationHubData
(>= 1.21.3)",Artistic-2.0,10.18129/B9.BIOC.EXPERIMENTHUBDATA,,,,Q14624826
ExperimentSubset,1.6.2000,"R (>= 4.0.0), SummarizedExperiment, SingleCellExperiment,
SpatialExperiment, TreeSummarizedExperiment",MIT,10.18129/B9.BIOC.EXPERIMENTSUBSET,,,,Q49108
ExploreModelMatrix,1.8.2000,NA,MIT,10.18129/B9.BIOC.EXPLOREMODELMATRIX,Q97681792,en,scientific article published on 04 June 2020,Q49108
ExpressionAtlas,1.24.0,"R (>= 4.1.1), methods, Biobase, SummarizedExperiment, limma,
S4Vectors, xml2",GPL (>= 3),10.18129/B9.BIOC.EXPRESSIONATLAS,,,,Q27016754
extraChIPs,1.0.2,"BiocParallel, R (>= 4.2.0), GenomicRanges, ggplot2,
SummarizedExperiment, tibble",GPL-3,10.18129/B9.BIOC.EXTRACHIPS,,,,Q63034458
fabia,2.42.0,"R (>= 3.6.0), Biobase",LGPL (>= 2.1),10.18129/B9.BIOC.FABIA,Q163053,en,supermini car,Q27016757
factDesign,1.72.0,Biobase (>= 2.5.5),LGPL,10.18129/B9.BIOC.FACTDESIGN,,,,Q192897
FamAgg,1.24.0,"methods, kinship2, igraph",MIT,10.18129/B9.BIOC.FAMAGG,Q40069583,en,scientific article,Q49108
famat,1.5.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.FAMAT,Q1190490,en,department of Argentina,Q63034458
farms,1.48.0,"R (>= 2.8), affy (>= 1.20.0), MASS, methods",LGPL (>= 2.1),10.18129/B9.BIOC.FARMS,Q131596,en,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures",Q27016757
fastLiquidAssociation,1.32.0,"methods, LiquidAssociation, parallel, doParallel, stats,
Hmisc, utils",GPL-2,10.18129/B9.BIOC.FASTLIQUIDASSOCIATION,,,,Q63002579
FastqCleaner,1.13.0,NA,MIT,10.18129/B9.BIOC.FASTQCLEANER,Q93111369,en,scientific article published on 28 June 2019,Q49108
fastreeR,1.0.0,R (>= 4.2),GPL-3,10.18129/B9.BIOC.FASTREER,,,,Q63034458
fastseg,1.42.0,"R (>= 2.13), GenomicRanges, Biobase",LGPL (>= 2.1),10.18129/B9.BIOC.FASTSEG,,,,Q27016757
FCBF,2.4.2000,R (>= 4.1),MIT,10.18129/B9.BIOC.FCBF,Q994824,en,macroeconomic concept used in official national accounts,Q49108
fCCAC,1.22.0,"R (>= 3.3.0), S4Vectors, IRanges, GenomicRanges, grid",Artistic-2.0,10.18129/B9.BIOC.FCCAC,Q39086585,en,scientific article published on 19 December 2016,Q14624826
fCI,1.26.0,"R (>= 3.1),FNN, psych, gtools, zoo, rgl, grid, VennDiagram",GPL (>= 2),10.18129/B9.BIOC.FCI,Q1107965,en,national governing body of cycle racing in Italy,Q27016752
fcoex,1.10.2000,R (>= 4.1),GPL-3,10.18129/B9.BIOC.FCOEX,,,,Q63034458
fcScan,1.10.2000,NA,Artistic-2.0,10.18129/B9.BIOC.FCSCAN,Q95330777,en,scientific article published on 19 May 2020,Q14624826
fdrame,1.68.0,NA,GPL (>= 2),10.18129/B9.BIOC.FDRAME,,,,Q27016752
FEAST,1.4.2000,"R (>= 4.1), mclust, BiocParallel, SummarizedExperiment",GPL-2,10.18129/B9.BIOC.FEAST,Q132241,en,"celebration that focuses upon a theme, and may run for hours to weeks; usually repeated regularily, eg. once a year",Q63002579
fedup,1.4.2000,R (>= 4.1),MIT,10.18129/B9.BIOC.FEDUP,,,,Q49108
FELLA,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.FELLA,Q3090788,en,Algerian musician,Q63034458
ffpe,1.40.0,"R (>= 2.10.0), TTR, methods",GPL (> 2),10.18129/B9.BIOC.FFPE,Q20180581,,,Q27016752
fgga,1.4.2000,"R (>= 4.1), RBGL",GPL-3,10.18129/B9.BIOC.FGGA,Q18042102,en,protein-coding gene in the species Homo sapiens,Q63034458
FGNet,3.30.0,R (>= 4.2.0),GPL (>= 2),10.18129/B9.BIOC.FGNET,,,,Q27016752
fgsea,1.22.0,R (>= 3.3),MIT,10.18129/B9.BIOC.FGSEA,,,,Q49108
FilterFFPE,1.6.2000,NA,LGPL-3,10.18129/B9.BIOC.FILTERFFPE,,,,Q18534393
FindIT2,1.2.2003,"GenomicRanges, R (>= 3.5.0)",Artistic-2.0,10.18129/B9.BIOC.FINDIT2,Q112638376,en,scientific article published on 07 April 2022,Q14624826
FISHalyseR,1.30.0,"EBImage,abind",Artistic-2.0,10.18129/B9.BIOC.FISHALYSER,,,,Q14624826
fishpond,2.2.2000,NA,GPL-2,10.18129/B9.BIOC.FISHPOND,Q1265665,en,man-made body of standing water used for pisciculture,Q63002579
FitHiC,1.22.0,NA,GPL (>= 2),10.18129/B9.BIOC.FITHIC,,,,Q27016752
flagme,1.52.0,"gcspikelite, xcms, CAMERA",LGPL (>= 2),10.18129/B9.BIOC.FLAGME,Q58325400,en,"researcher, ORCID id # 0000-0002-1204-5340","
Q27016756"
FLAMES,1.2.2001,NA,GPL (>= 2),10.18129/B9.BIOC.FLAMES,Q194126,en,hockey team of the National Hockey League,Q27016752
flowAI,1.26.0,R (>= 3.6),GPL (>= 2),10.18129/B9.BIOC.FLOWAI,Q31092297,en,scientific article,Q27016752
flowBeads,1.34.0,"R (>= 2.15.0), methods, Biobase, rrcov, flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWBEADS,,,,Q14624826
flowBin,1.32.0,"methods, flowCore, flowFP, R (>= 2.10)",Artistic-2.0,10.18129/B9.BIOC.FLOWBIN,,,,Q14624826
flowcatchR,1.30.0,"R (>= 2.10), methods, EBImage",BSD_3_clause,10.18129/B9.BIOC.FLOWCATCHR,,,,Q18491847
flowCHIC,1.30.0,R (>= 3.1.0),GPL-2,10.18129/B9.BIOC.FLOWCHIC,,,,Q63002579
flowCL,1.34.0,"R (>= 3.4), Rgraphviz, SPARQL",Artistic-2.0,10.18129/B9.BIOC.FLOWCL,Q30488437,en,scientific article,Q14624826
flowClean,1.34.0,"R (>= 2.15.0), flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWCLEAN,Q33923634,en,scientific article,Q14624826
flowClust,3.34.0,R(>= 2.5.0),Artistic-2.0,10.18129/B9.BIOC.FLOWCLUST,Q30488437,en,scientific article,Q14624826
flowCore,2.8.2000,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.FLOWCORE,Q33428799,en,scientific article,Q14624826
flowCut,1.6.2000,"R (>= 3.4), flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWCUT,,,,Q14624826
flowCyBar,1.32.0,R (>= 3.0.0),GPL-2,10.18129/B9.BIOC.FLOWCYBAR,,,,Q63002579
flowDensity,1.30.0,NA,Artistic-2.0,10.18129/B9.BIOC.FLOWDENSITY,Q30868322,en,scientific article,Q14624826
flowFP,1.54.0,"R (>= 2.10), flowCore, flowViz",Artistic-2.0,10.18129/B9.BIOC.FLOWFP,Q33517104,en,scientific article,Q14624826
flowGraph,1.4.2000,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.FLOWGRAPH,Q45976436,en,scientific article,Q14624826
flowMap,1.34.0,"R (>= 3.0.1), ade4(>= 1.5-2), doParallel(>= 1.0.3), abind(>=
1.4.0), reshape2(>= 1.2.2), scales(>= 0.2.3), Matrix(>= 1.1-4),
methods (>= 2.14)",GPL (>= 2),10.18129/B9.BIOC.FLOWMAP,Q46862662,en,scientific article published in November 1981,Q27016752
flowMatch,1.32.0,"R (>= 3.0.0), Rcpp (>= 0.11.0), methods, flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWMATCH,,,,Q14624826
flowMeans,1.56.0,R (>= 2.10.0),Artistic-2.0,10.18129/B9.BIOC.FLOWMEANS,,,,Q14624826
